Date,Open,High,Low,Close,Volume,RawClose
2018-01-02,0.0,0.0020568866168107253,-0.018916525454134976,0.0,0.0,64.27120161056519
2018-01-03,0.004392899389729358,0.007456013871149343,-0.014318732006409571,0.015401579659542,0.1901808604576653,65.04646348953247
2018-01-04,0.0018957794597954658,0.009316166799302536,-0.007287230717961874,0.0024210115694001427,-0.07397144800557141,65.18277379444667
2018-01-05,0.005464387133554841,0.002419216591877366,-0.012539677999316276,0.01165447937189674,-0.05324217498565886,66.03597749982562
2018-01-08,0.0036961938417767576,0.005523989594651756,-0.016244381609121703,0.016599077441625237,0.1786737281801096,66.59697573525565
2018-01-09,0.0023835602022170515,0.007010427419704384,-0.00857615696599025,-0.0011323410024587366,-0.20251726206772755,66.53449930463519
2018-01-10,-0.006898435654109493,0.002015988507377545,-0.013098363999795724,0.0007375509253781784,-0.14507551803881874,66.48114190782819
2018-01-11,0.0031022492704797827,0.0053973347073703925,-0.007818288348536009,0.005571998579119354,-0.01255884208796841,66.74835818154472
2018-01-12,-0.006334254504421948,0.0053967482090757635,-0.013040586334104052,0.001697814049286531,0.4808212141020383,66.14630903516498
2018-01-16,0.007562186179350989,0.022246268306085813,-0.007185458169933593,-0.0037375678917689497,0.14114437419560996,65.81984458650861
2018-01-17,0.003922882842415487,0.0048600429777395805,-0.01840111036226991,0.010577655678157208,-0.1747812583891901,66.14028685433524
2018-01-18,-0.0010906434778524662,0.00894283695703876,-0.007602752332297806,1.218123372743423e-05,-0.1594061860624996,66.39454759870257
2018-01-19,0.0052036183314830686,0.005624540366697081,-0.008771589390315273,0.00734241802492002,0.15492742116156627,66.6994868006025
2018-01-22,-0.0010432938014793994,0.003600021370978463,-0.017477833732978953,0.013645764435255638,-0.1232522254232405,67.86901133401054
2018-01-23,0.007921427427054928,0.006913126962973383,-0.01033266691987573,0.012508147964032641,0.08641057023717279,68.8482266153608
2018-01-24,0.00474741163239759,0.01982611653925792,-0.0061023244725035685,-0.010286140363417287,0.16190416076560357,68.18847703933716
