step,action,entropy,logit_0,logit_1,action_prob,position
80,0,0.6931446194648743,-0.6908705830574036,-0.6954290270805359,0.5011395812034607,
160,1,0.693145751953125,-0.6948021650314331,-0.6914949417114258,0.5008267760276794,
240,1,0.6931424140930176,-0.696239173412323,-0.6900646686553955,0.5015436410903931,
320,0,0.6931333541870117,-0.6984294056892395,-0.6878927946090698,0.49736589193344116,
400,0,0.6931334733963013,-0.6983938813209534,-0.6879278421401978,0.4973835349082947,
480,1,0.6931463479995728,-0.6918659210205078,-0.6944301724433899,0.4993589222431183,
560,0,0.6931394934654236,-0.6892231106758118,-0.6970868110656738,0.5019658803939819,
640,1,0.6931319236755371,-0.6876417398452759,-0.6986830234527588,0.49723970890045166,
720,0,0.693132758140564,-0.6985418796539307,-0.6877815127372742,0.49730995297431946,
800,0,0.69314044713974,-0.6894874572753906,-0.6968203783035278,0.5018332004547119,
880,1,0.6931461095809937,-0.6916857957839966,-0.6946107745170593,0.4992687404155731,
960,0,0.6931332349777222,-0.6984524726867676,-0.6878699064254761,0.4973543882369995,
1040,1,0.693145215511322,-0.6911601424217224,-0.6951382160186768,0.4990054666996002,
1120,0,0.6931328773498535,-0.6985198259353638,-0.6878032088279724,0.49732089042663574,
1200,0,0.6931408643722534,-0.6896032691001892,-0.6967036724090576,0.5017750859260559,
1280,1,0.6931426525115967,-0.6901382207870483,-0.696165144443512,0.4984932839870453,
1360,1,0.6931471824645996,-0.693000078201294,-0.6932942867279053,0.49992647767066956,
1440,1,0.6931322813034058,-0.6986175775527954,-0.6877065300941467,0.502727746963501,
1520,1,0.6931448578834534,-0.6910036206245422,-0.6952952146530151,0.49892711639404297,
1600,1,0.6931391954421997,-0.6891751289367676,-0.6971350312232971,0.4980100095272064,
1680,1,0.6931454539299011,-0.6912874579429626,-0.6950103044509888,0.49906930327415466,
1760,1,0.6931302547454834,-0.6873461604118347,-0.6989820599555969,0.49709105491638184,
1840,1,0.6931300163269043,-0.6873056888580322,-0.6990229487419128,0.4970707297325134,
1920,1,0.6931456923484802,-0.6914048790931702,-0.6948926448822021,0.4991280436515808,
2000,1,0.6931444406509399,-0.6907958984375,-0.6955041289329529,0.4988229274749756,
2080,1,0.6931307315826416,-0.6874411702156067,-0.6988859176635742,0.4971388280391693,
2160,1,0.6931412220001221,-0.689685583114624,-0.6966209411621094,0.49826616048812866,
2240,1,0.693144679069519,-0.6909021139144897,-0.6953973770141602,0.49887615442276,
2320,0,0.6931426525115967,-0.6901523470878601,-0.696151077747345,0.5014996528625488,
2400,0,0.693132758140564,-0.6985437273979187,-0.6877796649932861,0.49730902910232544,
2480,1,0.6931407451629639,-0.6895764470100403,-0.6967306733131409,0.49821144342422485,
2560,0,0.6931324005126953,-0.6985965371131897,-0.6877274513244629,0.4972827434539795,
2640,1,0.693141520023346,-0.6897727251052856,-0.6965331435203552,0.4983099102973938,
2720,1,0.6931291818618774,-0.6871609687805176,-0.6991694569587708,0.4969979226589203,
2800,1,0.6931470632553101,-0.6936530470848083,-0.6926416158676147,0.5002528429031372,
2880,1,0.6931345462799072,-0.6881232857704163,-0.6981964707374573,0.49748173356056213,
2960,1,0.6931400299072266,-0.6893832087516785,-0.6969253420829773,0.4981144368648529,
3040,1,0.6931422352790833,-0.6900148391723633,-0.6962893605232239,0.49843135476112366,
3120,1,0.6931388974189758,-0.6890917420387268,-0.6972190737724304,0.4979681670665741,
3200,1,0.6931340098381042,-0.68802809715271,-0.69829261302948,0.4974338710308075,
3280,1,0.6931418180465698,-0.6898853182792664,-0.6964198350906372,0.4983663558959961,
3360,1,0.6931400895118713,-0.6893905401229858,-0.6969180703163147,0.4981181025505066,
3440,1,0.6931256055831909,-0.6866001486778259,-0.6997373104095459,0.4967157542705536,
3520,1,0.6931332349777222,-0.6984329223632812,-0.6878890991210938,0.5026359558105469,
3600,1,0.6931406259536743,-0.6895405650138855,-0.6967668533325195,0.4981934428215027,
3680,1,0.6931244730949402,-0.6864278316497803,-0.6999120116233826,0.496628999710083,
3760,1,0.6931393146514893,-0.6891955733299255,-0.6971143484115601,0.49802032113075256,
3840,0,0.693128228187561,-0.68701171875,-0.6993205547332764,0.5030771493911743,
3920,1,0.6931401491165161,-0.6894091963768005,-0.6968991160392761,0.4981275498867035,
4000,1,0.6931228637695312,-0.6861871480941772,-0.7001560926437378,0.49650782346725464,
4080,1,0.6931469440460205,-0.6938155293464661,-0.6924792528152466,0.5003340840339661,
4160,1,0.693146824836731,-0.694021463394165,-0.692273736000061,0.5004369020462036,
4240,1,0.6931297779083252,-0.6872689127922058,-0.6990602016448975,0.49705222249031067,
4320,0,0.6931333541870117,-0.6984291672706604,-0.6878929734230042,0.4973660111427307,
4400,1,0.6931387186050415,-0.6890507340431213,-0.6972603797912598,0.4979476034641266,
4480,1,0.6931469440460205,-0.6924306750297546,-0.6938642859458923,0.4996415972709656,
4560,0,0.6931337714195251,-0.6983320116996765,-0.6879890561103821,0.4974142909049988,
4640,0,0.6931338310241699,-0.6983274817466736,-0.6879936456680298,0.49741655588150024,
4720,1,0.6931359767913818,-0.6884329319000244,-0.6978837251663208,0.4976373016834259,
4800,1,0.6931238174438477,-0.686342716217041,-0.6999982595443726,0.4965861737728119,
4880,0,0.693134069442749,-0.698275089263916,-0.6880455017089844,0.4974426031112671,
4960,1,0.6931434273719788,-0.6904016733169556,-0.6959002614021301,0.49862536787986755,
5040,1,0.693142294883728,-0.6900424361228943,-0.6962615251541138,0.49844521284103394,
5120,0,0.6931341886520386,-0.6982682943344116,-0.688052237033844,0.4974460005760193,
5200,1,0.6931410431861877,-0.6896524429321289,-0.696654200553894,0.4982495605945587,
5280,1,0.6931464672088623,-0.6943470239639282,-0.6919487714767456,0.5005995631217957,
5360,0,0.6931341886520386,-0.6982511281967163,-0.6880691647529602,0.49745452404022217,
5440,0,0.6931411623954773,-0.696619987487793,-0.6896864175796509,0.4982666075229645,
5520,1,0.6931430697441101,-0.6902771592140198,-0.696025550365448,0.49856290221214294,
5600,1,0.6931424140930176,-0.6900618076324463,-0.6962420344352722,0.4984549283981323,
5680,0,0.6931341886520386,-0.6982561349868774,-0.6880642771720886,0.4974520802497864,
5760,1,0.6931343078613281,-0.6982351541519165,-0.6880850195884705,0.5025374889373779,
5840,1,0.6931393146514893,-0.6971184015274048,-0.6891916394233704,0.5019816756248474,
5920,1,0.693146824836731,-0.6940024495124817,-0.6922926902770996,0.5004274249076843,
6000,1,0.6931461095809937,-0.6916793584823608,-0.6946172118186951,0.49926552176475525,
6080,1,0.6931439638137817,-0.6957034468650818,-0.6905975341796875,0.5012764930725098,
6160,1,0.6931469440460205,-0.6924658417701721,-0.6938289999961853,0.4996592104434967,
6240,1,0.6931449770927429,-0.6910558938980103,-0.6952428221702576,0.49895328283309937,
6320,1,0.6931342482566833,-0.6982386708259583,-0.6880814433097839,0.5025392770767212,
6400,1,0.6931426525115967,-0.6961643099784851,-0.69013911485672,0.5015062689781189,
6480,1,0.6931400299072266,-0.6969340443611145,-0.6893747448921204,0.5018897652626038,
6560,1,0.6931467652320862,-0.6941267251968384,-0.692168653011322,0.5004895329475403,
6640,1,0.6931470632553101,-0.6928107738494873,-0.6934837102890015,0.49983176589012146,
6720,1,0.6931359767913818,-0.6884360313415527,-0.6978806257247925,0.49763885140419006,
6800,1,0.6931403279304504,-0.6968717575073242,-0.6894364953041077,0.5018588304519653,
6880,1,0.6931401491165161,-0.6969107985496521,-0.6893976926803589,0.5018782615661621,
6960,1,0.6931470632553101,-0.6936537027359009,-0.6926409006118774,0.5002532005310059,
7040,1,0.6931397914886475,-0.6969936490058899,-0.6893154978752136,0.5019195079803467,
7120,1,0.69312983751297,-0.68727046251297,-0.6990586519241333,0.49705302715301514,
7200,0,0.6931469440460205,-0.6924814581871033,-0.6938133835792542,0.5003329515457153,
7280,1,0.6931366920471191,-0.6885717511177063,-0.6977437138557434,0.4977070391178131,
7360,1,0.6931434869766235,-0.6958507299423218,-0.6904508471488953,0.5013499855995178,
7440,1,0.6931464076042175,-0.694400429725647,-0.6918954849243164,0.500626266002655,
7520,1,0.6931470632553101,-0.6926794052124023,-0.693615198135376,0.4997660517692566,
7600,0,0.6931341886520386,-0.6982606053352356,-0.6880597472190857,0.4974498152732849,
7680,0,0.6931340098381042,-0.6982833743095398,-0.688037097454071,0.4974384605884552,
7760,1,0.6931339502334595,-0.6880123019218445,-0.6983084678649902,0.49742600321769714,
7840,0,0.6931341886520386,-0.6982586979866028,-0.6880616545677185,0.49745073914527893,
7920,1,0.6931330561637878,-0.6878507733345032,-0.6984718441963196,0.4973447322845459,
8000,0,0.6931339502334595,-0.6983047723770142,-0.6880161166191101,0.4974278509616852,
8080,1,0.6931408643722534,-0.6967242956161499,-0.6895829439163208,0.5017853379249573,
8160,0,0.6931342482566833,-0.6982458233833313,-0.6880743503570557,0.4974571764469147,
8240,0,0.6931267976760864,-0.6867819428443909,-0.6995531320571899,0.5031927824020386,
8320,1,0.6931278705596924,-0.6869574189186096,-0.699375569820404,0.4968954920768738,
