step,value_estimate,in_cooldown,forced_action
5840,-0.5052640438079834,False,False
5920,-0.5059722065925598,False,False
6000,-0.505530834197998,False,False
6080,-0.5047762989997864,False,False
6160,-0.5049946308135986,False,False
6240,-0.5046005249023438,False,False
6320,-0.5046272277832031,False,False
6400,-0.5048549175262451,False,False
6480,-0.5063028335571289,False,False
6560,-0.5069371461868286,False,False
6640,-0.5063035488128662,False,False
6720,-0.5059648752212524,False,False
6800,-0.5046302080154419,False,False
6880,-0.5048280954360962,False,False
6960,-0.5048445463180542,False,False
7040,-0.5046193599700928,False,False
7120,-0.5049992799758911,False,False
7200,-0.505469799041748,False,False
7280,-0.5056627988815308,False,False
7360,-0.5077124238014221,False,False
7440,-0.5087794065475464,False,False
7520,-0.5100055932998657,False,False
7600,-0.5078667402267456,False,False
7680,-0.5057097673416138,False,False
7760,-0.5046696662902832,False,False
7840,-0.50480055809021,False,False
7920,-0.5046015977859497,False,False
8000,-0.5057546496391296,False,False
8080,-0.5053932666778564,False,False
8160,-0.5055893659591675,False,False
8240,-0.505570650100708,False,False
8320,-0.5050958395004272,False,False
8400,-0.5047037601470947,False,False
8480,-0.5047206878662109,False,False
8560,-0.5080904364585876,False,False
8640,-0.5053260922431946,False,False
8720,-0.5061140060424805,False,False
8800,-0.5057514905929565,False,False
8880,-0.5053785443305969,False,False
8960,-0.5068780183792114,False,False
9040,-0.5057711601257324,False,False
9120,-0.508487343788147,False,False
9200,-0.5070027709007263,False,False
9280,-0.5060571432113647,False,False
9360,-0.5047245621681213,False,False
9440,-0.5046030282974243,False,False
9520,-0.5046553611755371,False,False
9600,-0.504818320274353,False,False
9680,-0.5046430826187134,False,False
9760,-0.5070580244064331,False,False
9840,-0.5100738406181335,False,False
9920,-0.5085484385490417,False,False
10000,-0.5095284581184387,False,False
10080,-0.5111731290817261,False,False
10160,-0.5131688714027405,False,False
10240,-0.5128204822540283,False,False
10320,-0.5157000422477722,False,False
10400,-0.5095210671424866,False,False
10480,-0.5101358294487,False,False
10560,-0.5084333419799805,False,False
10640,-0.5127155780792236,False,False
10720,-0.515713095664978,False,False
10800,-0.5152294039726257,False,False
10880,-0.513835072517395,False,False
10960,-0.5134689807891846,False,False
11040,-0.5124650001525879,False,False
11120,-0.5111488699913025,False,False
11200,-0.5190894603729248,False,False
11280,-0.5193564891815186,False,False
11360,-0.5192719101905823,False,False
11440,-0.5194711089134216,False,False
11520,-0.5191795825958252,False,False
11600,-0.5193843245506287,False,False
11680,-0.5192011594772339,False,False
11760,-0.5188992023468018,False,False
11840,-0.519112229347229,False,False
11920,-0.5193345546722412,False,False
12000,-0.5195308923721313,False,False
12080,-0.5194907188415527,False,False
12160,-0.5194995999336243,False,False
12240,-0.5192819833755493,False,False
12320,-0.5193767547607422,False,False
12400,-0.5188674926757812,False,False
12480,-0.5188786387443542,False,False
12560,-0.5178917646408081,False,False
12640,-0.5188985466957092,False,False
12720,-0.518746554851532,False,False
12800,-0.5189289450645447,False,False
12880,-0.5182397365570068,False,False
12960,-0.5184540152549744,False,False
13040,-0.5190091729164124,False,False
13120,-0.5194474458694458,False,False
13200,-0.5193098187446594,False,False
13280,-0.5195738673210144,False,False
13360,-0.5196162462234497,False,False
13440,-0.5196225643157959,False,False
13520,-0.5195481181144714,False,False
13600,-0.5193562507629395,False,False
13680,-0.5195595622062683,False,False
13760,-0.5196672677993774,False,False
13840,-0.5197104215621948,False,False
13920,-0.5198444724082947,False,False
14000,-0.5196872353553772,False,False
14080,-0.5197181701660156,False,False
14160,-0.51968914270401,False,False
14240,-0.5196104049682617,False,False
14320,-0.5196731090545654,False,False
14400,-0.519661545753479,False,False
14480,-0.5192229747772217,False,False
14560,-0.5196558237075806,False,False
14640,-0.519456684589386,False,False
14720,-0.5187587738037109,False,False
14800,-0.5193554759025574,False,False
14880,-0.518944501876831,False,False
14960,-0.51951664686203,False,False
15040,-0.5186030864715576,False,False
15120,-0.5152442455291748,False,False
15200,-0.5182149410247803,False,False
15280,-0.5190147161483765,False,False
15360,-0.519345223903656,False,False
15440,-0.5184701681137085,False,False
15520,-0.5154356360435486,False,False
15600,-0.5085173845291138,False,False
15680,-0.5073802471160889,False,False
15760,-0.5075199604034424,False,False
15840,-0.5159965753555298,False,False
15920,-0.5156183242797852,False,False
16000,-0.4037926495075226,False,False
16080,-0.5061357617378235,False,False
16160,-0.5879349708557129,False,False
16240,-0.5855006575584412,False,False
16320,-0.566993236541748,False,False
