step,value_estimate,in_cooldown,forced_action
7600,-0.4529593884944916,False,False
7680,-0.4468066394329071,False,False
7760,-0.24377554655075073,False,False
7840,-0.9239639043807983,False,False
7920,-0.21809932589530945,False,False
8000,0.16569453477859497,False,False
8080,-0.7653520107269287,False,False
8160,-0.5514958500862122,False,False
8240,-0.5514957904815674,False,False
8320,1.038048505783081,False,False
8400,-0.7024682760238647,False,False
8480,-1.0393141508102417,False,False
8560,-0.7024682760238647,False,False
8640,-0.7024682760238647,False,False
8720,-0.7024682760238647,False,False
8800,-0.5112404823303223,False,False
8880,-0.7024676203727722,False,False
8960,-0.7024682760238647,False,False
9040,-0.7024682760238647,False,False
9120,-0.7024686336517334,False,False
9200,-0.7024714350700378,False,False
9280,-0.46596622467041016,False,False
9360,0.05037766695022583,False,False
9440,-0.5462440848350525,False,False
9520,-0.4472285211086273,False,False
9600,-0.44680720567703247,False,False
9680,-0.5399430394172668,False,False
9760,-0.9291897416114807,False,False
9840,-0.9387506246566772,False,False
9920,-0.24357891082763672,False,False
10000,-0.4533938765525818,False,False
10080,-0.5514957904815674,False,False
10160,-0.5514957904815674,False,False
10240,0.16568520665168762,False,False
10320,-0.5400259494781494,False,False
10400,-0.9404107928276062,False,False
10480,-1.0031651258468628,False,False
10560,-0.17138168215751648,False,False
10640,-0.1718040108680725,False,False
10720,-0.24357891082763672,False,False
10800,-0.14326411485671997,False,False
10880,0.15306204557418823,False,False
10960,-0.17191852629184723,False,False
11040,-0.14326506853103638,False,False
11120,-0.15338218212127686,False,False
11200,-0.14326411485671997,False,False
11280,-0.291986346244812,False,False
11360,-0.2915247082710266,False,False
11440,-0.8313363790512085,False,False
11520,-0.14326411485671997,False,False
11600,-0.8323349952697754,False,False
11680,-0.557949960231781,False,False
11760,-0.5583481788635254,False,False
11840,-0.5530271530151367,False,False
11920,-1.0484402179718018,False,False
12000,-0.1536090075969696,False,False
12080,-0.46540170907974243,False,False
12160,-0.46543216705322266,False,False
12240,-0.8491454124450684,False,False
12320,-0.38924700021743774,False,False
12400,-0.38924676179885864,False,False
12480,-0.6404489278793335,False,False
12560,-0.24451833963394165,False,False
12640,-0.1564752757549286,False,False
12720,-0.6035360097885132,False,False
12800,-0.7583062052726746,False,False
12880,0.17727118730545044,False,False
12960,-0.7349406480789185,False,False
13040,-0.3892393112182617,False,False
13120,-0.3316834270954132,False,False
13200,-0.1564784049987793,False,False
13280,-0.3852553367614746,False,False
13360,-0.3143502175807953,False,False
13440,-0.48899832367897034,False,False
13520,-0.7351669073104858,False,False
13600,-0.43619996309280396,False,False
13680,-0.17547595500946045,False,False
13760,0.02599310874938965,False,False
13840,-0.6668818593025208,False,False
13920,-1.0354996919631958,False,False
14000,-0.44285848736763,False,False
14080,-0.9313492774963379,False,False
14160,-0.7814407348632812,False,False
14240,-0.8877009153366089,False,False
14320,-0.3851683735847473,False,False
14400,-1.0031936168670654,False,False
14480,-0.9321994781494141,False,False
14560,-1.1092212200164795,False,False
14640,-0.34224048256874084,False,False
14720,-0.8463081121444702,False,False
14800,-0.8461364507675171,False,False
14880,-0.4361807107925415,False,False
14960,-1.1092228889465332,False,False
15040,-0.8892883062362671,False,False
15120,0.3016373813152313,False,False
15200,-0.6047638058662415,False,False
15280,-1.1398868560791016,False,False
15360,-0.7325021624565125,False,False
15440,-0.3835606873035431,False,False
15520,-0.86424720287323,False,False
15600,-0.8786092400550842,False,False
15680,-0.8642383813858032,False,False
15760,-0.3835606873035431,False,False
15840,-1.0702145099639893,False,False
15920,0.3016688823699951,False,False
16000,-0.7024682760238647,False,False
16080,-0.7024682760238647,False,False
16160,-0.7024682760238647,False,False
16240,-0.7024682760238647,False,False
16320,-0.7024702429771423,False,False
16400,0.6224468350410461,False,False
16480,0.6684291958808899,False,False
16560,0.6708837151527405,False,False
16640,0.6709003448486328,False,False
16720,0.6709002256393433,False,False
16800,0.6709004044532776,False,False
16880,0.6709004044532776,False,False
16960,0.6709004044532776,False,False
17040,0.6709004044532776,False,False
17120,0.6709004044532776,False,False
17200,0.6709014177322388,False,False
17280,0.7445675730705261,False,False
17360,0.670941174030304,False,False
17440,0.6883062720298767,False,False
17520,1.120355248451233,False,False
17600,1.3534003496170044,False,False
17680,1.68913733959198,False,False
17760,1.690582275390625,False,False
17840,1.6902304887771606,False,False
17920,1.6907676458358765,False,False
18000,1.6907707452774048,False,False
18080,1.6907707452774048,False,False
18160,1.6907707452774048,False,False
18240,1.6907707452774048,False,False
18320,1.6907707452774048,False,False
18400,1.6911331415176392,False,False
18480,1.6907707452774048,False,False
18560,0.6342080235481262,False,False
18640,0.6694377064704895,False,False
18720,0.6708757281303406,False,False
18800,0.6709004044532776,False,False
18880,0.6709004044532776,False,False
18960,0.6709004044532776,False,False
19040,0.6709004044532776,False,False
19120,0.6709004044532776,False,False
19200,0.6709004044532776,False,False
19280,0.6709004044532776,False,False
19360,0.6917788982391357,False,False
19440,0.6709999442100525,False,False
19520,1.0513604879379272,False,False
19600,0.8217580914497375,False,False
19680,1.461572527885437,False,False
19760,1.3552643060684204,False,False
19840,1.3564404249191284,False,False
19920,1.4444817304611206,False,False
20000,1.3565173149108887,False,False
20080,1.4525924921035767,False,False
20160,1.3586007356643677,False,False
20240,1.8618682622909546,False,False
20320,1.690743088722229,False,False
20400,1.6907707452774048,False,False
20480,1.6907707452774048,False,False
20560,1.6912685632705688,False,False
20640,2.247058629989624,False,False
20720,1.1425975561141968,False,False
20800,0.6038292050361633,False,False
20880,0.662018895149231,False,False
20960,0.7514990568161011,False,False
21040,0.6483986973762512,False,False
21120,0.6708902716636658,False,False
21200,0.7514990568161011,False,False
21280,0.6709746718406677,False,False
21360,0.670900285243988,False,False
21440,0.7514990568161011,False,False
21520,0.6709004640579224,False,False
21600,0.6709275841712952,False,False
21680,0.6709341406822205,False,False
21760,0.6750142574310303,False,False
21840,0.7721052765846252,False,False
21920,1.6064635515213013,False,False
22000,1.3560727834701538,False,False
22080,1.8600598573684692,False,False
22160,1.690769910812378,False,False
22240,1.6907707452774048,False,False
22320,1.6907707452774048,False,False
22400,1.2632877826690674,False,False
22480,1.8618683815002441,False,False
22560,1.861855149269104,False,False
22640,1.8876105546951294,False,False
22720,1.088809609413147,False,False
22800,1.8618683815002441,False,False
22880,1.6976014375686646,False,False
22960,1.6907707452774048,False,False
23040,1.8631631135940552,False,False
23120,2.249492883682251,False,False
23200,2.0894970893859863,False,False
23280,2.2320573329925537,False,False
23360,2.2495806217193604,False,False
23440,2.249479293823242,False,False
23520,1.0888091325759888,False,False
23600,1.0888091325759888,False,False
23680,2.2495806217193604,False,False
23760,-0.3876446485519409,False,False
23840,1.2295821905136108,False,False
23920,2.2495806217193604,False,False
24000,1.0888097286224365,False,False
24080,2.2495806217193604,False,False
24160,2.2495806217193604,False,False
24240,2.2495806217193604,False,False
24320,2.2495806217193604,False,False
24400,2.2495806217193604,False,False
24480,2.2495803833007812,False,False
24560,1.5871737003326416,False,False
24640,0.48930421471595764,False,False
24720,0.48797908425331116,False,False
