seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
21,10000,0.0003,0.992,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.04,0.1,0.05,1.0,1,0.4919093851132686,0.5735849056603773,0.5533980582524272,0.6415895599496715,0.4483870967741935,0.5205992509363296,0.5129032258064516,0.03520675996162703,0.5811297822958512,-0.00023280554609919632,-0.07193691374465166,0.001404411622469157,0.0005899053107752923,0.0,0.0004854368932038836,-0.002712559372547529,0.02712559372547529,-0.005816206933553155,-1.803024149401478,0.00012874192009711423,5.1105984444928055e-05,0.0,0.00048387096774193554,-0.006479925805837133,0.06479925805837133
7,10000,0.0003,0.992,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.04,0.1,0.05,1.0,1,0.1423948220064725,0.0,0.0,0.0,0.13870967741935483,0.0,0.0,0.0,0.0,-0.00043066621047080556,-0.13307585903547892,0.0,0.0,-0.00043066621047080556,0.0,0.0,0.0,-0.0004904124360226505,-0.15202785516702164,0.0,0.0,-0.0004904124360226505,0.0,0.0,0.0
13,10000,0.0003,0.992,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.04,0.1,0.05,1.0,1,0.1423948220064725,0.0,0.0,0.0,0.13870967741935483,0.0,0.0,0.0,0.0,-0.00043066621047080556,-0.13307585903547892,0.0,0.0,-0.00043066621047080556,0.0,0.0,0.0,-0.0004904124360226505,-0.15202785516702164,0.0,0.0,-0.0004904124360226505,0.0,0.0,0.0
