ticker,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,run_label,reward_turnover_penalty_scale,val_reward_turnover_penalty_mean,test_reward_turnover_penalty_mean
NVDA,13,10000,0.0003,0.99,0.02,1,1.0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5419354838709678,0.5773195876288659,291.0,309.0,0.9967741935483873,0.5598705501618123,1.932223946499949,0.4983922829581994,0.5400696864111498,287.0,309.0,0.9935691318327974,0.5210355987055016,0.1617787851345999,0.5622651949144022,-0.0400690599811814,0.6566209588629767,40.12953853607178,0.3251532300036768,100.79750130113985,0.0023049190012458,0.0025448099898318,-3.740757965694257e-06,0.0549677419354838,-0.0029953839037897,0.0299538390378973,0.0953864400353883,29.665182851005767,0.0003703540178079,0.0004956457946257,-1.501296542721812e-05,0.0272668810289389,-0.0050010625389041,0.050010625389041,0.9542065261688282,2.1710440916919675,3.12348018308686,-0.1566333140079289,0.0879728259201075,0.4185669621127625,0.5134546715005056,-0.1875223390350336,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260403-023223Z_nvda-medium-long-sortino-nextbar_seed13.zip,0.1794875708251587,0.0239045190788678,4.0,0.1331820302039384,0.0,0.6494197375019334,nvda-medium-long-sortino-nextbar,0.03,0.0,0.0
NVDA,13,10000,0.0003,0.99,0.02,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5451612903225806,0.5787671232876712,292.0,310.0,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289.0,311.0,1.0,0.5241157556270096,0.2165155292794045,0.391504734372379,0.104911952542072,0.6577706584180292,35.33930802345276,0.318157219626852,98.62873808432413,0.0021300837130855,0.0031697860699538,0.0,0.0776774193548387,-0.0070173912546445,0.0701739125464459,0.0925143803322954,28.7719722833439,0.0008522322179584,0.0003481383412576,0.0,0.0612218649517684,-0.0050807043736359,0.0508070437363598,0.783446065626805,1.4610268777456366,2.303492858021299,-0.2398884754583923,0.2329538384433611,0.7103626275632055,1.0181405315889396,-0.2028671805995128,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-230546Z_nvda-medium-long-sortino_seed13.zip,0.0190739261227244,0.3419788881952215,3.0,17.929129325283068,1.0,0.6164861272656382,nvda-medium-long-sortino,,,
NVDA,13,10000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5290322580645161,0.5694444444444444,288.0,306.0,0.9870967741935484,0.5522875816993464,1.7334015240550906,0.4983922829581994,0.5400696864111498,287.0,309.0,0.9935691318327974,0.5210355987055016,0.1617787851345999,0.6845936174836738,-0.0655873425815849,0.650408496732026,38.37397837638855,0.3049660712059963,94.53948207385886,0.0025811558378149,0.0028826754367416,-1.8948319464493994e-05,0.0523870967741935,-0.0036342426496341,0.0363424264963417,0.0922329839533925,28.68445800950509,0.000353154851583,0.000569225390842,-1.501296542721812e-05,0.0344694533762057,-0.0073282945826737,0.0732829458267372,1.0765349487380995,1.935159021774015,3.3228814616226106,-0.1374907376957219,0.0624545433197041,0.3160467924666037,0.3935914912388847,-0.2405052256851197,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260403-023456Z_nvda-medium-long-sortino-nextbar_seed13.zip,0.1961363103871444,0.0334458596479429,4.0,0.1705235485562348,0.0,0.6406757890866406,nvda-medium-long-sortino-nextbar,0.03,0.0,0.0
NVDA,7,20000,0.0003,0.99,0.02,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5451612903225806,0.5787671232876712,292.0,310.0,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289.0,311.0,1.0,0.5241157556270096,0.2165155292794045,1.5168157782201763,0.1106762040666637,0.6577706584180292,49.22990608215332,0.2894321788005042,89.72397542815631,0.0038656746810721,0.0038562880861911,0.0,0.0495483870967742,-0.0049408426219531,0.0494084262195312,0.0911321371382076,28.342094649982588,0.0010215507091511,0.0009324686524766,0.0,0.0249517684887459,-0.0082011390972151,0.0820113909721516,1.9087571094746023,2.110176796590157,3.543983975849036,-0.2180538829067653,0.2387180899679528,0.6272233275764714,0.8538558779226457,-0.3094265604876081,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-230257Z_nvda-medium-long-sortino_seed7.zip,0.0190739261227244,0.3419788881952215,3.0,17.929129325283068,1.0,0.6170625524180975,nvda-medium-long-sortino,,,
NVDA,7,20000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5451612903225806,0.5787671232876712,292.0,310.0,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289.0,311.0,1.0,0.5241157556270096,0.2165155292794045,0.8910805997578402,0.0319531425358401,0.6577706584180292,49.72272443771362,0.2770572705902264,85.88775388297019,0.0029324723787631,0.003096752502223,0.0,0.0353548387096774,-0.0042456437057995,0.0424564370579957,0.0888301515489192,27.62617713171389,0.0006791493332682,0.0007568766216075,0.0,0.020064308681672,-0.0062933431105927,0.062933431105927,1.283021931012266,2.0021149842136228,3.260737004191673,-0.1935449415731518,0.1599950284371292,0.5364564084666367,0.7076675142673303,-0.2534373458323943,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-230437Z_nvda-medium-long-sortino_seed7.zip,0.0190739261227244,0.3419788881952215,3.0,17.929129325283068,1.0,0.6091902462650151,nvda-medium-long-sortino,,,
NVDA,7,10000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5451612903225806,0.5787671232876712,292.0,310.0,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289.0,311.0,1.0,0.5241157556270096,0.2165155292794045,0.8201230905347503,0.0471610136785329,0.6577706584180292,35.634676933288574,0.2746396662467502,85.13829653649256,0.0027990840422688,0.0026542833123277,0.0,0.0459354838709677,-0.0037921753059245,0.0379217530592456,0.0861278277769392,26.78575443862811,0.0006786879371349,0.0007581854411383,0.0,0.0133762057877813,-0.0057051136499874,0.0570511364998747,1.2120644217891765,2.0316863727077634,3.3591331689175803,-0.1659785894931776,0.175202899579822,0.6007609970346189,0.827446220267683,-0.2139268965147256,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-230119Z_nvda-medium-long-sortino_seed7.zip,0.060110555684992,0.38250305705379,3.0,6.363325919964681,1.0,0.6107110333792843,nvda-medium-long-sortino,,,
NVDA,13,20000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5451612903225806,0.5787671232876712,292.0,310.0,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289.0,311.0,1.0,0.5241157556270096,0.2165155292794045,0.9662336982970824,0.0623456667649076,0.6577706584180292,54.704097747802734,0.2707291912629008,83.92604929149927,0.0030605741367177,0.003077861884369,0.0,0.0397419354838709,-0.0045255986391561,0.045255986391561,0.0810353141760869,25.201982708763044,0.0007838411572095,0.0008649194010355,0.0,0.0095176848874598,-0.0069053947179908,0.0690539471799087,1.3581750295515085,2.001689286128822,3.298854220015666,-0.2072827100096574,0.1903875526661966,0.5870131920280597,0.8033099692863057,-0.2568699773198311,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-231018Z_nvda-medium-long-sortino_seed13.zip,0.0190739261227244,0.3419788881952215,3.0,17.929129325283068,1.0,0.6122294986879219,nvda-medium-long-sortino,,,
NVDA,13,10000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5258064516129032,0.5719298245614035,285.0,303.0,0.9774193548387096,0.5544554455445545,1.6705757430424857,0.5048231511254019,0.5508771929824562,285.0,307.0,0.9871382636655948,0.5309446254071661,0.3396254179662072,0.0482392440509182,0.0291426838925783,0.6523015459440682,34.00107765197754,0.2698353068582023,83.6489451260427,0.0012324253874045,0.0014302564811143,-4.881558424621629e-05,0.0214193548387096,-0.0031405853766297,0.0314058537662978,0.1297775461949693,40.36081686663546,0.0005174806526748,0.0005592036830326,-3.207845121007358e-05,0.0190353697749196,-0.0022480576974273,0.0224805769742739,0.4401805753053442,1.8396857415705208,2.759717234539889,-0.1084233829850261,0.1571845697938674,0.8284703489301113,1.1668230790419123,-0.0938576541592536,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-230655Z_nvda-medium-long-sortino_seed13.zip,0.060110555684992,0.38250305705379,3.0,6.363325919964681,1.0,0.6041631827543785,nvda-medium-long-sortino,,,
NVDA,7,10000,0.0003,0.99,0.02,1,1.0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5,0.5682656826568265,271.0,288.0,0.9290322580645162,0.5520833333333334,1.6336193115585949,0.4790996784565916,0.5418181818181819,275.0,297.0,0.954983922829582,0.5218855218855218,0.2141804665126239,0.134083379778449,-0.1819553676136258,0.6497578413284133,37.89988470077515,0.267409503690217,82.89694614396728,0.0014727658438472,0.001833548322432,-0.0001636778847347,0.0632258064516129,-0.0027261280156247,0.0272612801562479,0.0605540555001139,18.832311260535427,-0.0001180175033096,9.237864089868928e-05,-8.783442204928373e-05,0.0336977491961414,-0.0062019157412363,0.0620191574123639,0.5260247110328751,1.5841747996400508,2.1302703508078658,-0.1493277129889804,-0.0539134817123367,-0.1717279556681198,-0.1856952651501404,-0.18754650527191,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260403-022005Z_nvda-medium-long-sortino-nextbar_seed7.zip,0.1794875708251587,0.0239045190788678,4.0,0.1331820302039384,0.0,0.6289081092230792,nvda-medium-long-sortino-nextbar,0.03,0.0,0.0
NVDA,7,10000,0.0003,0.99,0.02,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sortino,100.0,1e-06,1.0,0.35,0.1,0.1,0.08,1.0,1,0.5419354838709678,0.5753424657534246,292.0,310.0,1.0,0.5580645161290323,1.9108921453976688,0.5048231511254019,0.5432525951557093,289.0,311.0,1.0,0.5241157556270096,0.2165155292794045,1.0271507334280818,0.2160600507921504,0.6550905877154221,34.73612451553345,0.2646287726232784,82.0349195132163,0.0032429227560868,0.0033954524729005,0.0,0.0441290322580645,-0.0050751326986958,0.0507513269869582,0.076094112088195,23.66526885942865,0.0012034275417845,0.0003327765008108,0.0,0.0311254019292604,-0.0058284388858457,0.0582843888584579,1.4190920646825078,1.8321477920147773,2.905105796038871,-0.227907867371661,0.3441019366934394,0.844304252207779,1.2606415629962238,-0.2133850411635962,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-230007Z_nvda-medium-long-sortino_seed7.zip,0.0190739261227244,0.3419788881952215,3.0,17.929129325283068,1.0,0.6250920992647513,nvda-medium-long-sortino,,,
