leaderboard_version,ticker,interval,experiment_preset,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,binary_actions,min_hold_bars,use_cooldown_obs,bars_per_year,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,21,60000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.4624413145539906,0.5038363171355499,391,425,0.9976525821596244,0.4988235294117647,0.9118445361173906,0.48711943793911006,0.5319693094629157,391,427,1.0,0.5292740046838408,1.386173909935338,0.2534553441336078,0.8396440573780093,0.5839341246147824,5.867228984832764,0.05360809817335994,22.837049821851334,0.001902781118468066,0.0019788299871743584,0.0,-4.257788147145668e-07,0.006901408450704226,0.0,-0.012072673976110141,0.1207267397611014,0.03219527188477089,13.74738109479717,0.002466668061936125,0.0026994632866431784,0.0,0.0,0.004168618266978922,0.0,-0.01805122137957939,0.18051221379579388,0.8751269668426509,1.031999629381792,1.6310131958495626,-0.383948963003825,1.2588176383022711,1.1586254886546299,1.882178511757537,-0.5294664326482535,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232812Z_amd-masked-ppo-v1-low-friction_seed21.zip,0.3465434774838345,0.693086954967669,4,2.0,1,0.6464918807362151
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,21,60000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.4624413145539906,0.5025510204081632,392,426,1.0,0.49765258215962443,0.8771671605558087,0.48711943793911006,0.5319693094629157,391,427,1.0,0.5292740046838408,1.386173909935338,0.207546431158516,0.8396440573780093,0.5760047169631306,5.978872776031494,0.04641537186099303,19.77294841278303,0.0018301685386018429,0.0019362521057029018,0.0,0.0,0.008544600938967138,0.0,-0.011929541285358296,0.11929541285358296,0.03219527188477089,13.74738109479717,0.002466668061936125,0.0026994632866431784,0.0,0.0,0.004168618266978922,0.0,-0.01805122137957939,0.18051221379579388,0.8292180538675591,1.0083621693959461,1.6027681387586474,-0.36824808219751715,1.2588176383022711,1.1586254886546299,1.882178511757537,-0.5294664326482535,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232806Z_amd-masked-ppo-v1-low-friction_seed21.zip,0.3465434774838345,0.693086954967669,4,2.0,1,0.6384982082481939
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,13,60000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,7.375843048095703,-0.00022256047758524475,-0.09481076345131426,0.0,0.0,0.0,-0.00022256047758524475,0.0,0.0,0.0,0.0,-0.0002509388453329442,-0.10715088695716718,0.0,0.0,0.0,-0.0002509388453329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232754Z_amd-masked-ppo-v1-low-friction_seed13.zip,0.3465434774838345,0.693086954967669,4,2.0,1,-0.06191735809242619
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,13,60000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,6.075346946716309,-0.00022256047758524475,-0.09481076345131426,0.0,0.0,0.0,-0.00022256047758524475,0.0,0.0,0.0,0.0,-0.0002509388453329442,-0.10715088695716718,0.0,0.0,0.0,-0.0002509388453329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232800Z_amd-masked-ppo-v1-low-friction_seed13.zip,0.3465434774838345,0.693086954967669,4,2.0,1,-0.06191735809242619
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,7,60000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.893280029296875,-0.00022256047758524475,-0.09481076345131426,0.0,0.0,0.0,-0.00022256047758524475,0.0,0.0,0.0,0.0,-0.0002509388453329442,-0.10715088695716718,0.0,0.0,0.0,-0.0002509388453329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232818Z_amd-masked-ppo-v1-low-friction_seed7.zip,0.3465434774838345,0.693086954967669,4,2.0,1,-0.06191735809242619
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,7,60000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.907860994338989,-0.00022256047758524475,-0.09481076345131426,0.0,0.0,0.0,-0.00022256047758524475,0.0,0.0,0.0,0.0,-0.0002509388453329442,-0.10715088695716718,0.0,0.0,0.0,-0.0002509388453329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232824Z_amd-masked-ppo-v1-low-friction_seed7.zip,0.3465434774838345,0.693086954967669,4,2.0,1,-0.06191735809242619
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,42,60000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.903674840927124,-0.00022256047758524475,-0.09481076345131426,0.0,0.0,0.0,-0.00022256047758524475,0.0,0.0,0.0,0.0,-0.0002509388453329442,-0.10715088695716718,0.0,0.0,0.0,-0.0002509388453329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232830Z_amd-masked-ppo-v1-low-friction_seed42.zip,0.3465434774838345,0.693086954967669,4,2.0,1,-0.06191735809242619
2,AMD,1d,daily,amd-masked-ppo-v1-low-friction,42,60000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.0,1.0,1,1,3,1,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.88519811630249,-0.00022256047758524475,-0.09481076345131426,0.0,0.0,0.0,-0.00022256047758524475,0.0,0.0,0.0,0.0,-0.0002509388453329442,-0.10715088695716718,0.0,0.0,0.0,-0.0002509388453329442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-232836Z_amd-masked-ppo-v1-low-friction_seed42.zip,0.3465434774838345,0.693086954967669,4,2.0,1,-0.06191735809242619
