seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
7,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.45806451612903226,0.5318352059925093,0.5096774193548387,0.3435548039237466,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.02330625241441708,7.224938248469295,0.000493397732176441,0.0005241649971800484,-0.00022052991946465498,0.02709677419354839,-0.0045875545890231425,0.04587554589023142
13,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.45161290322580644,0.5243445692883895,0.5032258064516129,0.2710919897328956,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.021263244638346272,6.591605837887345,0.00030087777030627657,0.0004267716756549029,-0.00023940573258136034,0.025483870967741934,-0.0047088700427754815,0.04708870042775482
21,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.43870967741935485,0.5093632958801498,0.4806451612903226,0.3494652428630194,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.045706208597007775,14.16892466507241,0.0004965926515732602,0.000473172495389889,-6.189200544238055e-06,0.04919354838709677,-0.00445091573650791,0.044509157365079086
55,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.45161290322580644,0.5243445692883895,0.5032258064516129,0.2710919897328956,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.021263244638346272,6.591605837887345,0.00030087777030627657,0.0004267716756549029,-0.00023940573258136034,0.025483870967741934,-0.0047088700427754815,0.04708870042775482
144,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.45161290322580644,0.5243445692883895,0.5032258064516129,0.2710919897328956,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.021263244638346272,6.591605837887345,0.00030087777030627657,0.0004267716756549029,-0.00023940573258136034,0.025483870967741934,-0.0047088700427754815,0.04708870042775482
89,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.44516129032258067,0.5168539325842697,0.5161290322580645,0.41599625454948064,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.04577756317909492,14.191044585519425,0.0004695016486544414,0.0004012422420479381,-1.1880680985636116e-05,0.04870967741935483,-0.0037909774499766662,0.03790977449976666
233,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.23204085160459487,0.45161290322580644,0.5243445692883895,0.5032258064516129,0.2710919897328956,0.4697824146880192,0.04982709414270065,15.396572090094502,0.0012470022231811835,0.0002647302911097757,0.0,0.049999999999999996,-0.001684638371590313,0.01684638371590313,0.021263244638346272,6.591605837887345,0.00030087777030627657,0.0004267716756549029,-0.00023940573258136034,0.025483870967741934,-0.0047088700427754815,0.04708870042775482
34,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,0.05,1.0,1,0.47249190938511326,0.5509433962264151,0.540453074433657,0.40805072509938256,0.46774193548387094,0.5430711610486891,0.5258064516129032,0.736508478448141,0.5192177654631811,0.02839769488036496,8.774887718032772,0.0013975169393168662,0.00021081452712332657,-0.00023574168798364751,0.029773462783171518,-0.0027483576812631057,0.027483576812631055,0.008398594817944124,2.6035643935626784,0.0008786570519852926,0.00034067792025361263,-0.0003939694532149101,0.012096774193548385,-0.00452354489462826,0.045235448946282585
