seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
21,5000,0.0003,0.99,0.005,1,0.002,1,0.001,0.05,1.2,0.55,0.02,0.07,1.0,1,0.1423948220064725,0.0,0.0,0.0,0.13870967741935483,0.0,0.0,0.0,0.0,-0.00021533310523540273,-0.06653792951773944,0.0,0.0,-0.00021533310523540273,0.0,0.0,-0.00024520621801132523,-0.07601392758351082,0.0,0.0,-0.00024520621801132523,0.0,0.0
13,5000,0.0003,0.99,0.005,1,0.002,1,0.001,0.05,1.2,0.55,0.02,0.07,1.0,1,0.13915857605177995,0.0,0.0,-0.0005953246355185904,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,-0.00011906492710371808,-0.00024345158238497054,-0.0752265389569559,0.002133104375240075,-1.0596393188842225e-06,-0.00021529457289653424,-0.002160201745409627,0.03086002493442324,-0.004574145711849674,-1.4179851706733988,5.851148288439419e-05,3.037796034904131e-05,0.0,-0.004663035155083109,0.0666147879297587
7,5000,0.0003,0.99,0.005,1,0.002,1,0.001,0.05,1.2,0.55,0.02,0.07,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.000997897926652713,-0.30835045933568833,0.0,-0.000997897926652713,0.0,0.0,0.0,-3.037796034904131e-05,-0.009417167708202806,0.0,-3.037796034904131e-05,0.0,0.0,0.0
