ticker,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,run_label
RIOT,13,5000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.43870967741935485,0.45484949832775917,299.0,306.0,0.9870967741935484,0.45098039215686275,-0.6866727985297016,0.4630225080385852,0.48322147651006714,298.0,311.0,1.0,0.48231511254019294,-0.49246009476078345,-0.9224312676628708,-0.5746017496123289,0.22538430710499807,28.662305116653442,0.14855770378921124,46.052888174655486,-0.0017644025797146992,0.0026999163225326682,-4.0904889166091355e-05,0.14661290322580647,-0.03181352070330474,0.3181352070330474,0.14850393371329224,46.18472338483389,-0.0012834646101214037,0.0024766639352160912,0.0,0.14469453376205788,-0.023937114850951853,0.23937114850951852,-0.5304899364084448,-0.7555624469113664,-1.243501334880104,-0.6868576300471233,-0.44655986371103984,-0.581053738219643,-0.7967215939196576,-0.6706038731453257,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-215605Z_riot-medium-sweep_seed13.zip,0.012864022706676137,0.7146362203166964,2.0,55.553090709783675,1.0,0.11650553323464978,riot-medium-sweep
RIOT,13,5000,0.0003,0.99,0.1,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.46774193548387094,0.48013245033112584,302.0,309.0,0.9967741935483871,0.47249190938511326,0.1311490891949989,0.4662379421221865,0.4882154882154882,297.0,310.0,0.9967845659163987,0.4838709677419355,-0.07447216524016109,-0.6966502384825878,0.08669946628313308,0.4080436158200967,29.181364059448242,0.13901454658427248,43.09450944112447,-0.00037544315504253083,0.002049956918421581,-3.181617152800886e-05,0.15,-0.03455574625356536,0.3455574625356536,0.1302885697492187,40.51974519200702,0.0014215360794453615,-0.0003511729815544539,-7.894696068569131e-06,0.1495176848874598,-0.015923798454651247,0.15923798454651247,-0.3047089072281618,-0.14729076152137674,-0.22491327526242502,-0.569386554204557,0.21474135218442214,0.5619987424023833,0.8908828093275547,-0.39634777769543716,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-215704Z_riot-medium-sweep_seed13.zip,-0.3313480846941326,0.3632774091388653,2.0,1.0963618802088644,1.0,0.4053457917521033,riot-medium-sweep
RIOT,7,10000,0.0003,0.99,0.1,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.46774193548387094,0.47854785478547857,303.0,310.0,1.0,0.47096774193548385,0.0039331328960632295,0.4662379421221865,0.4882154882154882,297.0,310.0,0.9967845659163987,0.4838709677419355,0.01857553865577377,-0.2720017148206806,-0.037972867192928694,0.3813508765525971,36.515986919403076,0.1252495324179238,38.82735504955638,0.0005696778682926771,0.0005312510898938819,0.0,0.12483870967741936,-0.014404488069019344,0.14404488069019344,0.13043456987869562,40.56515123227434,0.00042592534920593095,0.00045686547578634016,-2.6736658071098485e-05,0.11189710610932477,-0.00883850915282443,0.0883850915282443,0.1199396164337454,0.4449348831411835,0.7804595056035727,-0.27581512152679466,0.09006901870836037,0.39148906223639784,0.630433887781315,-0.24963553824089568,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-215507Z_riot-medium-sweep_seed7.zip,0.01857553865577377,0.0,1.0,0.0,0.0,0.37707020816180375,riot-medium-sweep
RIOT,7,10000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.46774193548387094,0.47854785478547857,303.0,310.0,1.0,0.47096774193548385,0.0039331328960632295,0.4694533762057878,0.49158249158249157,297.0,310.0,0.9967845659163987,0.4870967741935484,0.04188376808029637,-0.4186222607112118,-0.00997288620236425,0.3813508765525971,37.16777467727661,0.12245858558033129,37.9621615299027,0.0011405739677437703,0.0013337727952920668,0.0,0.14080645161290323,-0.03207689584247209,0.32076895842472103,0.15219238799023918,47.33183266496439,0.001378774018342673,0.001362830026709674,-2.6736658071098485e-05,0.13987138263665594,-0.020905120110530168,0.20905120110530162,-0.026680929456785796,0.36336609954704924,0.6367306887115514,-0.6048429792354099,0.11806899969892481,0.4842894434392139,0.7872544287019697,-0.455081385365145,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-215354Z_riot-medium-sweep_seed7.zip,0.04188376808029637,0.0,1.0,0.0,0.0,0.37970185609251006,riot-medium-sweep
RIOT,7,5000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.46774193548387094,0.47854785478547857,303.0,310.0,1.0,0.47096774193548385,0.0039331328960632295,0.4630225080385852,0.5035460992907801,282.0,293.0,0.9421221864951769,0.49829351535836175,0.5181881401741357,-0.4061434309995091,-0.01646637710042409,0.3813508765525971,31.461811542510986,0.1039832492316179,32.23480726180155,0.0002621744341885614,0.00016986320058473125,0.0,0.13403225806451613,-0.019623030507779866,0.1962303050777986,0.17298290988026815,53.79768497276339,0.0005154437524915408,0.0005924713940761767,-0.00020417102799666015,0.1369774919614148,-0.008083378286257312,0.08083378286257313,-0.01420209974508313,0.16725206999280665,0.2843628565567496,-0.4363574876770808,0.11157550880086498,0.4354936045209813,0.6378938722131285,-0.2771117912468848,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-215138Z_riot-medium-sweep_seed7.zip,0.012864022706676137,0.7146362203166964,2.0,55.553090709783675,1.0,0.3284543266172896,riot-medium-sweep
AAPL,7,20000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4774193548387097,0.5481481481481482,270.0,310.0,1.0,0.5548387096774193,0.3990725207196537,0.4565916398713826,0.5338345864661654,266.0,311.0,1.0,0.5209003215434084,0.0520159422928965,-0.1689219038444473,-0.1200718269886906,0.5203401911212306,65.96431636810303,0.0603111993919487,18.696471811504097,0.0006889575682757,0.0009079312015129,0.0,0.0034193548387096,-0.0037177572357548,0.0371775723575487,0.0144634367570698,4.498128831448717,0.0001070730434809,0.0002087747186288,0.0,0.0046945337620578,-0.0061862364498872,0.0618623644988722,0.2230194274099786,1.1909465040450204,1.8812569185833563,-0.1232336325186457,0.0079700589125983,0.1337353477729731,0.1777670157820339,-0.2225393172553073,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-210448Z_validation-aapl-baseline_seed7.zip,0.0520159422928965,0.0,1.0,0.0,0.0,0.5076173303382625,
RIOT,7,5000,0.0003,0.99,0.1,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.5096774193548387,0.5214521452145214,303.0,310.0,1.0,0.5193548387096775,-0.6578083960362353,0.4887459807073955,0.5100671140939598,298.0,311.0,1.0,0.5048231511254019,-0.5882240041481042,-0.7899310078265208,-0.41838878554339287,0.2849708450129169,30.149879932403564,0.05303315509076337,16.440278078136643,-0.0012249722591320764,-0.0012006322020898387,0.0,0.1146774193548387,-0.030747050387480736,0.3074705038748073,0.054084625190426346,16.820318434222592,-0.0005252550005133854,-0.000621055725796863,0.0,0.12009646302250807,-0.03729605470948632,0.37296054709486326,-0.39798967657209483,-0.6816065041969135,-0.8604803097481177,-0.5433987449841473,-0.2903468996421038,-0.24540825402826033,-0.3563232200105836,-0.609819001458037,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-215240Z_riot-medium-sweep_seed7.zip,-0.3313480846941326,0.3632774091388653,2.0,1.0963618802088644,1.0,0.2315990961004609,riot-medium-sweep
RIOT,7,5000,0.0003,0.99,0.1,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.5096774193548387,0.5214521452145214,303.0,310.0,1.0,0.5193548387096775,-0.6578083960362353,0.4887459807073955,0.5100671140939598,298.0,311.0,1.0,0.5048231511254019,-0.5882240041481042,-0.7899310078265208,-0.4183887855433928,0.2849708450129169,27.813220024108887,0.0530331550907633,16.440278078136643,-0.001224972259132,-0.0012006322020898,0.0,0.1146774193548387,-0.0307470503874807,0.3074705038748073,0.0540846251904263,16.820318434222592,-0.0005252550005133,-0.0006210557257968,0.0,0.120096463022508,-0.0372960547094863,0.3729605470948632,-0.3979896765720948,-0.6816065041969135,-0.8604803097481177,-0.5433987449841473,-0.2903468996421038,-0.2454082540282603,-0.3563232200105836,-0.609819001458037,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-213932Z_diagnostic-3-high-entropy-action-bonus_seed7.zip,-0.5882240041481042,0.0,1.0,0.0,0.0,0.2425627149025495,
riot,7,5000,0.0003,0.99,0.1,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.15,1.0,1,0.5096774193548387,0.5214521452145214,303.0,310.0,1.0,0.5193548387096775,-0.6578083960362353,0.4887459807073955,0.5100671140939598,298.0,311.0,1.0,0.5048231511254019,-0.5882240041481042,-0.7899310078265208,-0.4183887855433928,0.2849708450129169,27.995025634765625,0.0530331550907633,16.440278078136643,-0.001224972259132,-0.0012006322020898,0.0,0.1146774193548387,-0.0307470503874807,0.3074705038748073,0.0540846251904263,16.820318434222592,-0.0005252550005133,-0.0006210557257968,0.0,0.120096463022508,-0.0372960547094863,0.3729605470948632,-0.3979896765720948,-0.6816065041969135,-0.8604803097481177,-0.5433987449841473,-0.2903468996421038,-0.2454082540282603,-0.3563232200105836,-0.609819001458037,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-214558Z_diagnostic-3-high-entropy-action-bonus_seed7.zip,-0.5882240041481042,0.0,1.0,0.0,0.0,0.2425627149025495,
AMD,7,15000,0.0003,0.99,0.05,1,1.0,0.002,1,0.001,0.05,same_bar,0.0,0.0,sharpe,100.0,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4580645161290322,0.5017667844522968,283.0,310.0,1.0,0.4838709677419355,0.1291950971030695,0.4823151125401929,0.5226480836236934,287.0,311.0,1.0,0.5241157556270096,0.6767169347421726,-0.2328943862033397,0.4585108971981602,0.4218837019693429,39.99189591407776,0.0526374682010171,16.31761514231532,0.0007362135756801,0.0007328429868325,0.0,0.0036129032258064,-0.0131971176246111,0.1319711762461113,0.036399435771356,11.320224524891731,0.0019348977511199,0.0020272753265567,0.0,0.0041800643086816,-0.0099897064975604,0.0998970649756046,0.1590469450510863,0.5121444627129496,0.74754556949821,-0.3308977316759883,0.5865527830994492,1.0101487043249169,1.6571846720500427,-0.3123359136966008,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-211056Z_validation-amd-smoke_seed7.zip,0.6767169347421726,0.0,1.0,0.0,0.0,0.4666907267305891,
