ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,max_weight_delta_per_step,leaderboard_version,interval,experiment_preset,reward_pnl_scale,bars_per_year,val_reward_pnl_mean,test_reward_pnl_mean
MU,sweep_mu_weight_cap_v1,3,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.44835680751173707,0.5,378,411,0.9647887323943662,0.49878345498783455,1.1381446615249269,0.056074766355140186,0.0,0,0,0.0,0.0,0.0,-0.5563686189043542,-0.4162736113017831,0.5996350364963503,106.87885332107544,0.1139013998902286,48.521996353237384,0.00021744044118067194,0.0003173775652933603,-4.636898639679974e-06,0.0004694835680751174,0.0,-0.0009059052879801476,0.009059052879801476,-0.0002967602851677948,-0.12701340205181616,0.0,0.0,-0.0002967602851677948,0.0,0.0,0.0,0.0,0.09510535755157523,1.1969697629445282,2.0144036166539925,-0.058382691930799924,0.0,0.0,0.0,0.0,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.13557738905659378,0.4162736113017831,1.064666790392192,1.4230200742185939,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-235932Z_sweep_mu_weight_cap_v1_seed3.zip,-0.1818656694668512,0.4066639997013872,5,2.23606797749979,1,0.5106469955911741,0.05,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_weight_cap_v1,21,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.44835680751173707,0.5,378,411,0.9647887323943662,0.49878345498783455,1.1381446615249269,0.056074766355140186,0.0,0,0,0.0,0.0,0.0,-0.5563686189043542,-0.4162736113017831,0.5996350364963503,93.15935277938843,0.1139013998902286,48.521996353237384,0.00021744044118067194,0.0003173775652933603,-4.636898639679974e-06,0.0004694835680751174,0.0,-0.0009059052879801476,0.009059052879801476,-0.0002967602851677948,-0.12701340205181616,0.0,0.0,-0.0002967602851677948,0.0,0.0,0.0,0.0,0.09510535755157523,1.1969697629445282,2.0144036166539925,-0.058382691930799924,0.0,0.0,0.0,0.0,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.13557738905659378,0.4162736113017831,1.064666790392192,1.4230200742185939,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260507-000413Z_sweep_mu_weight_cap_v1_seed21.zip,-0.1818656694668512,0.4066639997013872,5,2.23606797749979,1,0.5106469955911741,0.05,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_weight_cap_v1,42,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.44835680751173707,0.5,378,411,0.9647887323943662,0.49878345498783455,1.1381446615249269,0.056074766355140186,0.0,0,0,0.0,0.0,0.0,-0.5563686189043542,-0.4162736113017831,0.5996350364963503,161.11688089370728,0.1139013998902286,48.521996353237384,0.00021744044118067194,0.0003173775652933603,-4.636898639679974e-06,0.0004694835680751174,0.0,-0.0009059052879801476,0.009059052879801476,-0.0002967602851677948,-0.12701340205181616,0.0,0.0,-0.0002967602851677948,0.0,0.0,0.0,0.0,0.09510535755157523,1.1969697629445282,2.0144036166539925,-0.058382691930799924,0.0,0.0,0.0,0.0,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.13557738905659378,0.4162736113017831,1.064666790392192,1.4230200742185939,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260507-000654Z_sweep_mu_weight_cap_v1_seed42.zip,-0.1818656694668512,0.4066639997013872,5,2.23606797749979,1,0.5106469955911741,0.05,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_entropy_stab_v1,21,40000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.3708920187793427,0.4983388704318937,301,328,0.7699530516431925,0.4969512195121951,1.1209680653370535,0.219626168224299,0.5,162,173,0.4042056074766355,0.5028901734104047,-0.1689008899022172,-0.5018723408777719,-0.387751118244531,0.5982548010696054,97.85240983963013,0.1141385857600105,48.6230375337645,0.0003333449192501,0.0003799851193818,-4.559156701665499e-05,0.0017370892018779,0.0,-0.0006714955098534,0.006714955098534,0.0085352966209465,3.6531069537651377,7.349295805456665e-05,4.256749035394782e-05,-0.0001762326746622,0.0011214953271028,0.0,-0.0021807418258899,0.0218074182588996,0.1496016355781575,1.52227630159536,2.3708262977923344,-0.0542279625428014,0.028522493057252,0.2956948829113638,0.258485936965573,-0.0782071235399044,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-234959Z_sweep_mu_entropy_stab_v1_seed21.zip,0.5883459249888594,2.439257622237669,5,4.145958217155761,1,0.5179370505951892,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_overtrade_fix_v3,7,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.4530516431924882,0.4961439588688946,389,424,0.9953051643192488,0.4952830188679245,0.9871794417443538,0.5163551401869159,0.5552763819095478,398,422,0.985981308411215,0.5521327014218009,4.890558027914558,-0.5019169858133725,0.4971046520496638,0.5940927734436954,105.38242101669312,0.0849757758965083,36.19968053191256,0.0003686993993302,0.0005004113110373,-1.5637894910592954e-07,0.0092488262910798,0.0,-0.0031608119291646,0.0316081192916469,0.0842918695386439,36.07692016253961,0.0016186656538617,0.0019737835693428,-2.3000583236931977e-06,0.0065420560747663,0.0,-0.003789167844636,0.0378916784463601,0.1495569906425569,0.6425346967005707,0.9371296072884814,-0.2271205199714375,0.9133782633514468,1.802150380680028,2.647416095603579,-0.1670277583539288,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-223434Z_sweep_mu_overtrade_fix_v3_seed7.zip,1.796945029183591,2.849961897507608,5,1.5860039407006434,1,0.6249865780896227,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_overtrade_fix_v3,42,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.4530516431924882,0.4961439588688946,389,424,0.9953051643192488,0.4952830188679245,0.9871794417443538,0.5163551401869159,0.5552763819095478,398,422,0.985981308411215,0.5521327014218009,4.890558027914558,-0.1596780469934953,2.1952936201816797,0.5940927734436954,103.8206479549408,0.0882903673512267,37.611696491622595,0.0010775191567367,0.0012237857598819,-1.5637894910592954e-07,0.0113145539906103,0.0,-0.0053242304456141,0.0532423044561411,0.1001364348369498,42.858394110214526,0.0033577397094604,0.003711452839083,-2.3000583236931977e-06,0.0101869158878504,0.0,-0.0063609652071992,0.0636096520719922,0.4917959294624341,1.0254140645784902,1.683369529014903,-0.3156904712384442,2.611567231483463,2.007660997504522,2.896082925816943,-0.3178304094901474,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-223920Z_sweep_mu_overtrade_fix_v3_seed42.zip,1.796945029183591,2.849961897507608,5,1.5860039407006434,1,0.6752761128846563,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_overtrade_fix_v3,13,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.4530516431924882,0.4961439588688946,389,424,0.9953051643192488,0.4952830188679245,0.9871794417443538,0.5163551401869159,0.5552763819095478,398,422,0.985981308411215,0.5521327014218009,4.890558027914558,-0.447872061802147,0.3782998941074593,0.5940927734436954,92.6584930419922,0.0875784577203151,37.30842298885423,0.000460423240805,0.00052151671316,-1.5637894910592954e-07,0.0040845070422535,0.0,-0.0020444525964743,0.0204445259647437,0.101758254622738,43.552532978531886,0.0014219350838611,0.0019540128617804,-2.3000583236931977e-06,0.0020093457943925,0.0,-0.0021727486201892,0.0217274862018928,0.2036019146537824,1.025539265311181,1.66297963533497,-0.1544570394194925,0.7945735054092424,2.154807881001344,3.322529366171186,-0.1046137172961162,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-225013Z_sweep_mu_overtrade_fix_v3_seed13.zip,1.8220409452685744,2.90103981332535,5,1.5921924371999927,1,0.6130442173304087,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_overtrade_fix_v3,42,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.4530516431924882,0.4961439588688946,389,424,0.9953051643192488,0.4952830188679245,0.9871794417443538,0.5163551401869159,0.5552763819095478,398,422,0.985981308411215,0.5521327014218009,4.890558027914558,-0.0568598319971611,2.5940514161564083,0.5940927734436954,98.03878498077393,0.0939366806550859,40.0170259590666,0.0012728667769568,0.001415403566241,-1.5637894910592954e-07,0.012112676056338,0.0,-0.0055576815351706,0.0555768153517064,0.1027488382482404,43.97650277024691,0.0036716482198297,0.0040019544706057,-2.3000583236931977e-06,0.0096728971962616,0.0,-0.0065434646238347,0.0654346462383477,0.5946141444587683,1.070372495411294,1.7844450890011023,-0.3469548761943927,3.010325027458191,2.0094522051298433,2.9541069659568566,-0.3299118226089297,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-225337Z_sweep_mu_overtrade_fix_v3_seed42.zip,1.8220409452685744,2.90103981332535,5,1.5921924371999927,1,0.6752142279196628,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_entropy_stab_v1,7,40000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.005,1.0,1,0.4530516431924882,0.4961439588688946,389,424,0.9953051643192488,0.4952830188679245,0.9871794417443538,0.5163551401869159,0.5552763819095478,398,422,0.985981308411215,0.5521327014218009,4.890558027914558,-0.3043628744165858,1.1973128857609037,0.5940927734436954,92.25684404373168,0.0928907210183915,39.57144715383478,0.0007757239601223,0.0009027745458927,-1.5637894910592954e-07,0.0089201877934272,0.0,-0.0039548261712594,0.0395482617125945,0.0948383995867349,40.590835023122565,0.0024395412429517,0.0028425503237399,-2.3000583236931977e-06,0.0045327102803738,0.0,-0.0050577309768815,0.0505773097688152,0.3471111020393436,0.9971426368534172,1.6244197514108871,-0.2507080357374951,1.6135864970626868,1.9740342582365715,2.9221932287893937,-0.2232173780284193,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-234632Z_sweep_mu_entropy_stab_v1_seed7.zip,0.5883459249888594,2.439257622237669,5,4.145958217155761,1,0.649676570120105,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
MU,sweep_mu_overtrade_fix_v3,21,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.4507042253521127,0.4935400516795866,387,421,0.988262910798122,0.4916864608076009,0.8586673484336109,0.366822429906542,0.5606060606060606,264,279,0.6518691588785047,0.5627240143369175,1.0083792362590942,-0.3966707894632755,-0.3665405598109961,0.5660094337687958,105.82037591934204,0.0881461148918362,37.550244943922245,0.0005749750819238,0.0006770881256941,-1.1253956811189937e-06,0.0105633802816901,0.0,-0.0026646929678478,0.0266469296784781,0.0629584408964581,26.946212703684104,0.0001461066769006,0.000281205403332,-0.0001180211932355,0.0046728971962616,0.0,-0.0063980070597992,0.0639800705979927,0.2548031869926539,0.992157701435914,1.5692273937371122,-0.1308774531102877,0.0497330514907869,0.2870311468093623,0.2714121353507681,-0.1644621277172124,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260506-225159Z_sweep_mu_overtrade_fix_v3_seed21.zip,1.8220409452685744,2.90103981332535,5,1.5921924371999927,1,0.5100801529693726,0.1,2.0,1d,daily,0.0,252.0,0.0,0.0
