seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
123,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0003,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
13,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
123,20000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
99,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5735849056603773,0.5533980582524272,0.7097806267693778,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.014027496421334273,0.5947679956597924,0.0006033323337560796,0.18642969113062857,0.0017999287712406953,0.0007713346375937289,0.0,0.0009708737864077672,-0.0029388048614861118,0.029388048614861113,-0.006182094773838945,-1.916449379890073,0.00011476758859790575,0.00012973227679582752,0.0,0.0003225806451612903,-0.00674917528439397,0.0674917528439397
3,20000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.3948220064724919,0.5957446808510638,0.5720720720720721,0.6239668171365338,0.4161290322580645,0.5364806866952789,0.5220588235294118,0.3769821904505102,0.5942873254744603,0.010621601128682944,3.28207474876303,0.0014999819571455207,0.0004099973636474576,-0.00028029649665266406,0.011326860841423949,-0.0023349425368813185,0.023349425368813178,0.0014547171787390892,0.4509623254091176,0.0010746044836385258,3.388407978356932e-05,-0.0002562841989791404,0.004967741935483871,-0.004365229121187737,0.04365229121187735
21,20000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.3948220064724919,0.5957446808510638,0.5720720720720721,0.6239668171365338,0.4161290322580645,0.5341880341880342,0.5201465201465202,0.3320620343416476,0.5942873254744603,0.010621601128682944,3.28207474876303,0.0014999819571455207,0.0004099973636474576,-0.00028029649665266406,0.011326860841423949,-0.0023349425368813185,0.023349425368813178,0.0011520901014578978,0.35714793145194834,0.0010013172411548622,2.7202431943253695e-05,-0.00025461378701906146,0.004838709677419355,-0.004460525462040512,0.04460525462040511
