seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
7,50000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,50000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,50000,0.0003,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,50000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,50000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,50000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,100000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,100000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.36245954692556637,0.4226415094339623,0.4401294498381877,-0.45081620878786366,0.4161290322580645,0.48314606741573035,0.4870967741935484,-0.10062752837551303,0.2531963479108647,-0.0006350259533244537,-0.19622301957725619,0.0,-0.0006350259533244537,0.0,0.0,0.0,-1.933142931302629e-05,-0.005992743087038149,0.0,-1.933142931302629e-05,0.0,0.0,0.0
7,50000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987966,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249141,-0.0006733895607511416,-0.20807737427210277,0.0017775869793667288,0.0006350259533244537,0.0,-0.0030860024934423248,0.03086002493442324,-0.006593387794592513,-2.043950216323679,4.8759569070328504e-05,1.933142931302629e-05,0.0,-0.006661478792975869,0.0666147879297587
7,50000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.05,0.1,1.0,1,0.4919093851132686,0.5735849056603773,0.5533980582524272,0.641589559949673,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.014027496421334273,0.5811297822958514,-0.0007989200827168423,-0.24686630555950428,0.0017424692145390568,0.0005899053107752925,0.0,-0.0031312946080311915,0.03131294608031191,-0.006705107598565358,-2.078583355555261,1.9361148412988885e-05,-3.898600908692099e-06,0.0,-0.006720570146069654,0.06720570146069653
