seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
7,20000,0.0003,0.99,0.05,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.47249190938511326,0.5509433962264151,0.540453074433657,0.4080507250993821,0.47096774193548385,0.5468164794007491,0.5290322580645161,0.765232197051023,0.519217765463181,0.0102978755224784,3.1820435364458257,0.0013975169393168666,0.00021081452712332638,-0.00047148337596729503,0.01190938511326861,-0.002748357681263106,0.02748357681263106,0.0012016353523596022,0.3725069592314767,0.0009083635544486259,0.00035118203409707544,-0.0007750127681054617,0.005225806451612904,-0.00450870391969354,0.04508703919693541
13,20000,0.0003,0.99,0.05,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.2320408516045951,0.45161290322580644,0.5243445692883895,0.5032258064516129,0.2710919897328956,0.46978241468801923,0.019827094142700646,6.1265720900945,0.001247002223181185,0.000264730291109776,0.0,0.02,-0.0016846383715903124,0.01684638371590312,0.00573351632511975,1.7773900607871225,0.00030087777030627657,0.0004267716756549029,-0.00047881146516272067,0.010193548387096775,-0.0047088700427754815,0.04708870042775482
21,20000,0.0003,0.99,0.05,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.45307443365695793,0.5283018867924528,0.5307443365695793,0.2320408516045951,0.44193548387096776,0.5131086142322098,0.4838709677419355,0.38582510929959457,0.46978241468801923,0.019827094142700646,6.1265720900945,0.001247002223181185,0.000264730291109776,0.0,0.02,-0.0016846383715903124,0.01684638371590312,0.016845115454005445,5.221985790741688,0.0005351541800523136,0.0004666260842640066,0.0,0.02,-0.004156664810310873,0.04156664810310872
