leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,NVDA,nvda-next-B-confirm-samebar,256,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.47096774193548385,0.5899581589958159,239,252,0.8129032258064516,0.5793650793650794,2.0194002273937275,0.3054662379421222,0.5821917808219178,146,158,0.5080385852090032,0.5506329113924051,0.37801374083529127,-0.2171856747704659,-0.07968863139994609,0.6687886033074317,67.43389773368835,0.2882092041190037,89.34485327689114,0.0005268765875332691,0.0006865429320501932,0.0,-0.0003320779821236991,0.0004032258064516129,0.0,-0.00033533268262802695,0.006706653652560539,0.12689422047209245,39.46410256682075,0.00015544731575002676,0.0002954671058940248,0.0,-0.0009895609990808036,3.215434083601286e-05,0.0,-0.0004104521993105368,0.008209043986210736,0.17475565648396008,2.1400618524191994,2.8129245554553117,-0.03684165775285064,0.04835325450134298,0.9191241733623273,0.9314909743390543,-0.045304328165714836,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181825Z_nvda-next-B-confirm-samebar_seed256.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.6323883636285661
2,NVDA,nvda-next-B-confirm-samebar,13,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.5451612903225806,0.5787671232876712,292,310,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289,311,1.0,0.5241157556270096,0.21651552927940454,0.4299193688631262,-0.0813863880430481,0.6577706584180292,69.32225251197815,0.31477574259311436,97.58048020386545,0.002049740011059602,0.0021936468091425204,0.0,0.0,0.0029677419354838712,0.0,-0.001292700934396304,0.02585401868792608,0.07246372170215445,22.536217449370035,0.00022396736337908135,0.0003602036777173664,0.0,0.0,0.0008360128617363344,0.0,-0.002387780088622038,0.04775560177244076,0.8218607001175522,2.139755710254227,3.7714939124314615,-0.11515102580091952,0.04665549785824097,0.2855511479885412,0.34715260763556854,-0.19034153288519884,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181211Z_nvda-next-B-confirm-samebar_seed13.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.6198132355769502
2,NVDA,nvda-next-B-confirm-samebar,512,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.5451612903225806,0.5787671232876712,292,310,1.0,0.5612903225806452,1.9662270407636635,0.5048231511254019,0.5432525951557093,289,311,1.0,0.5241157556270096,0.21651552927940454,-0.09063364373817628,-0.10644310047962602,0.6577706584180292,71.8173439502716,0.2819342827022865,87.39962763770882,0.0008916188337651094,0.0010824982165841973,0.0,0.0,0.0011612903225806453,0.0,-0.0008314552609731935,0.016629105219463872,0.06744459082546896,20.975267746720846,9.871629129503537e-05,0.0001962362214531729,0.0,0.0,0.0003858520900321544,0.0,-0.0015312474331106952,0.030624948662213904,0.3013076875162497,1.5209266015155645,2.162524769225962,-0.09265835603002148,0.021598785421663047,0.20069078214001076,0.253767021062281,-0.07727337403862833,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181937Z_nvda-next-B-confirm-samebar_seed512.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.6173075643332924
2,NVDA,nvda-next-B-confirm-samebar,123,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.532258064516129,0.5769230769230769,286,304,0.9806451612903225,0.5592105263157895,2.056351998852587,0.0707395498392283,0.0,0,0,0.0,0.0,0.0,0.19846584844429116,-0.12500383406718263,0.6562246963562752,65.46535897254944,0.3459122462810924,107.23279634713865,0.0015858159720422325,0.0017392866012827008,0.0,-4.1589675413338245e-05,0.0010645161290322583,0.0,-0.001093560799304116,0.02187121598608232,0.32006272013383935,99.53950596162403,9.770132305524214e-06,1.105442677162637e-05,0.0,-0.002076742969170624,3.215434083601286e-05,0.0,-2.3200964237716037e-08,4.6401928475432074e-07,0.5904071796987171,1.8890677618406946,2.922028977347865,-0.11986106656953788,0.0030380518341064366,0.859723311199951,0.0,-0.0001443099975585449,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181718Z_nvda-next-B-confirm-samebar_seed123.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.586835101473227
2,NVDA,nvda-next-B-confirm-samebar,42,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.14838709677419354,0.3626373626373626,91,96,0.3096774193548387,0.375,-0.4663825346547883,0.26688102893890675,0.423728813559322,177,191,0.6141479099678456,0.450261780104712,-0.39202063592535064,-0.6862288515925739,-0.4165526364661989,0.2005421743877236,60.32419681549072,-0.16579165728964357,-51.395413759789506,-0.0010916781904487718,-0.000955883865192387,0.0,-0.0017411000730358395,0.0005806451612903226,0.0,-0.014182465046446935,0.28364930092893864,-0.08144196841333483,-25.32845217654713,-0.0008713356634889152,-0.0007977149314935011,0.0,-0.0007058831017207065,0.0005787781350482314,0.0,-0.016361841894676935,0.3272368378935388,-0.29428752033814787,-2.1461491258777543,-1.9374018974233858,-0.3494616151399196,-0.2885107505649098,-0.6579763491078425,-0.7957124731317327,-0.4653765530907369,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181410Z_nvda-next-B-confirm-samebar_seed42.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.12778928056482963
2,NVDA,nvda-next-B-confirm-samebar,101,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.3967741935483871,0.4212328767123288,292,310,1.0,0.432258064516129,-0.7516831406091057,0.42443729903536975,0.45674740484429066,289,311,1.0,0.47266881028938906,-0.37580928019063575,-0.8888160659627005,-0.4650040813422692,0.18995722958918193,62.879549741744995,-0.23381053677909958,-72.48126640152087,-0.0020899513749496963,-0.0019081753774313759,0.0,0.0,0.0006451612903225806,0.0,-0.019165245999207003,0.38330491998414,-0.08197463291649637,-25.494110837030373,-0.0010502373050852675,-0.0009754299790573212,0.0,0.0,0.0006109324758842443,0.0,-0.017546667292614265,0.35093334585228525,-0.4968747347082745,-2.1162240317574668,-2.9166075738843205,-0.5566843968663613,-0.33696219544098016,-0.7195287425097718,-0.9634674859368975,-0.5259740303530918,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181612Z_nvda-next-B-confirm-samebar_seed101.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.11363803741818082
2,NVDA,nvda-next-B-confirm-samebar,777,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.3967741935483871,0.4212328767123288,292,310,1.0,0.432258064516129,-0.7516831406091057,0.42443729903536975,0.45674740484429066,289,311,1.0,0.47266881028938906,-0.37580928019063575,-1.0688006743305305,-0.476759324267204,0.18995722958918193,71.85265922546387,-0.24651597506608466,-76.41995227048625,-0.0032431153697391767,-0.0031453311917189206,0.0,0.0,0.0008064516129032258,0.0,-0.02435803994247499,0.4871607988494998,-0.05947393285006091,-18.496393116368942,-0.0010261719761210956,-0.000909572393660059,0.0,0.0,0.0008038585209003215,0.0,-0.017991526304819587,0.35983052609639177,-0.6768593430761046,-1.8331524481396584,-2.652623840895653,-0.7291649575791721,-0.34871743836591496,-0.6113810227132969,-0.9028213281918824,-0.552119231335843,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-182049Z_nvda-next-B-confirm-samebar_seed777.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.11246251312568734
2,NVDA,nvda-next-B-confirm-samebar,84,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.3741935483870968,0.4187725631768953,277,295,0.9516129032258065,0.43050847457627117,-0.7501137248499158,0.4212218649517685,0.4548611111111111,288,310,0.9967845659163987,0.47096774193548385,-0.4081038734865474,-0.9775492889560207,-0.46465379391971784,0.18851607899134584,59.23446178436279,-0.23186135421407272,-71.87701980636254,-0.0026070199545317435,-0.0024332345057385615,0.0,-0.00013434358116750427,0.0009032258064516129,0.0,-0.022862872788063815,0.45725745576127624,-0.05765068309881993,-17.929362443732998,-0.0009600738516079603,-0.0008818178477740864,0.0,-1.754381070398126e-05,0.0009646302250803858,0.0,-0.018293231992072452,0.365864639841449,-0.5856079577015947,-1.9200693073712887,-2.797403177529961,-0.6490938209836985,-0.3366119080184288,-0.5651932418987526,-0.8181623049159874,-0.5380013065947005,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181510Z_nvda-next-B-confirm-samebar_seed84.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.11220321457248716
2,NVDA,nvda-next-B-confirm-samebar,7,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.16451612903225807,0.36607142857142855,112,120,0.3870967741935484,0.375,-0.5394191020266095,0.2315112540192926,0.4244604316546763,139,148,0.4758842443729904,0.4391891891891892,-0.35085023095365453,-0.6865859097485697,-0.3312968697463895,0.18765189388039233,79.95796227455139,-0.24555010571536676,-76.12053277176369,-0.0011041281347856137,-0.0008566884381658206,0.0,-0.0015714534066167659,0.00033870967741935485,0.0,-0.01142768756038202,0.22855375120764038,-0.04923163085610573,-15.311037196248883,-0.0006365051158048574,-0.0004966808175708612,0.0,-0.000885377958629222,0.0003054662379421222,0.0,-0.012015342912714536,0.24030685825429074,-0.2946445784941437,-2.659955298980159,-3.133876166349047,-0.3137119376387313,-0.20325498384510043,-0.741348243921259,-0.8553367581052052,-0.35053398657322554,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181059Z_nvda-next-B-confirm-samebar_seed7.zip,-0.10915485013527237,0.30610357529566773,10,2.804305763017609,1,0.1235596991214149
2,NVDA,nvda-reward-realism-C-agg,10,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.5,0.6,0.1,0.02,0.01,0.02,1.0,0,0.2096774193548387,0.3825503355704698,149,159,0.5129032258064516,0.389937106918239,-0.6560106927147901,0.4244372990353697,0.4567474048442906,289,311,1.0,0.472668810289389,-0.3758092801906357,-0.9536502372166644,-0.4837686614391846,0.1770541613177485,69.67823266983032,-0.2431582776737404,-75.37906607885955,-0.0025266686174818,-0.0022637910154323,0.0,-0.0012192015959921,0.001516129032258,0.0,-0.0094186215659378,0.4709310782968901,-0.0651954427643141,-20.275782699701697,-0.0009813584787575,-0.0010921142039951,0.0,0.0,0.0014147909967845,0.0,-0.0079030566689913,0.3951528334495655,-0.5617089059622384,-2.49079981405916,-2.282385096329729,-0.6036578730929718,-0.3557267755378955,-0.528712505101918,-0.7784240534689393,-0.595164232157221,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260410-084805Z_nvda-reward-realism-C-agg_seed10.zip,-0.3758092801906357,0.0,1,0.0,0,0.124967441710139
