ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,max_weight_delta_per_step
NVDA,nvda-direction-ab-20k-ent05-bonus002-dir035,13,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.5288315334153793,-0.12265173049814959,0.6566209588629767,53.11289978027344,0.12666586402670868,39.26641784827969,0.002332041717069958,0.0026695470429294234,-3.740757965694257e-06,0.01864516129032258,0.0,-0.0049907855346519505,0.04990785534651952,0.020135937658263298,6.262276611719885,0.0001746464351066827,0.0005304673340772504,-1.1039333733143128e-05,0.015369774919614146,0.0,-0.00748721296814207,0.07487212968142068,0.9207728646698052,1.7425075879827234,2.67034163831155,-0.20567515498532452,0.005390155403139474,0.15715637722861078,0.18448611388598135,-0.2660352618929658,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260406-053447Z_nvda-direction-ab-20k-ent05-bonus002-dir035_seed13.zip,-0.14171606136399867,0.2901579440720581,5,2.047459838209767,1,0.6220985413829541,0.25
NVDA,nvda-direction-ab-20k-ent05-bonus002-dir035,42,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.24238981850296626,-0.03131480041391943,0.6566209588629767,54.94976615905762,0.12391116350290322,38.4124606859,0.00169266958370891,0.0019488849138644797,-3.740757965694257e-06,0.01032258064516129,0.0,-0.0030629581441562583,0.030629581441562585,0.01912771550792458,5.948719522964545,0.0003604351641877752,0.0003496197963376791,-1.1039333733143128e-05,0.00572347266881029,0.0,-0.0037180628696964744,0.03718062869696475,0.6343311497573922,1.8352355952080617,2.8669732474037914,-0.14661798285315608,0.09672708548736964,0.5085890465435408,0.642175828390259,-0.14882406266462989,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260406-053635Z_nvda-direction-ab-20k-ent05-bonus002-dir035_seed42.zip,-0.14171606136399867,0.2901579440720581,5,2.047459838209767,1,0.6312322343913771,0.25
AAPL,,2,40000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.4774193548387097,0.550185873605948,269,309,0.9967741935483873,0.5566343042071198,0.4207790729380092,0.4598070739549839,0.5338345864661654,266,310,0.9967845659163987,0.5161290322580645,0.0497930310707259,-0.291981222745439,-0.1466149047183061,0.5262390426527117,28.82612895965576,3.617634793725839e-05,0.0112146678605501,0.0003177990150172,0.0004942490487524,-4.928362017850386e-06,0.0028387096774193,0.0,-0.0018745158019024,0.0187451580190247,-0.00342542039381,-1.0653057424749253,-4.93758503961261e-05,0.0001330616615264,-1.9177521036761347e-07,0.0007073954983922,0.0,-0.0035564678314068,0.0355646783140683,0.0999601085089869,1.0696519321733644,1.5148529282981589,-0.058767175208895,-0.0185730188170171,-0.1581207402006766,-0.1852668354491337,-0.1055617881463409,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260403-092607Z_run_seed2.zip,0.0497930310707259,0.0,1,0.0,0,0.510759987823892,
AAPL,,2,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.4354838709677419,0.5466666666666666,225,253,0.8161290322580645,0.5573122529644269,0.4122757127544867,0.45016077170418,0.5416666666666666,240,275,0.8842443729903537,0.52,0.059666908183952,-0.399624108520544,-0.1723439002932411,0.5229821517735588,14.364520072937012,-0.0205196015558346,-6.361076482308729,8.366625413266132e-06,0.0008503408966615,-0.000179353820673,0.02,0.0,-0.0053730208009802,0.0537302080098026,-0.0156492562987926,-4.866918708924517,-8.732752807563273e-05,0.0004174381790987,-0.0001093558899244,0.0194855305466237,0.0,-0.0058017440423801,0.0580174404238012,-0.0076827772661179,0.0211879241056725,0.0327876274908683,-0.1413474969324102,-0.044302014391952,-0.1214644671773381,-0.1679564992648397,-0.2069004525438004,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260403-092509Z_run_seed2.zip,0.059666908183952,0.0,1,0.0,0,0.5054977617442347,
AAPL,,2,20000,0.0003,0.99,0.02,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.4774193548387097,0.5481481481481482,270,310,1.0,0.5548387096774193,0.3990725207196537,0.4565916398713826,0.5338345864661654,266,311,1.0,0.5176848874598071,0.0504191495795858,-0.209489909236554,-0.0570708773391932,0.5203401911212306,15.96900987625122,6.959506384388438e-05,0.0215744697916041,0.0005931458711577,0.0008610042232066,0.0,0.0118064516129032,0.0,-0.0044595796548571,0.044595796548571,-0.0040381163184245,-1.255854175030049,0.0003288918311805,0.0004937104571096,0.0,0.0094533762057877,0.0,-0.0056610997745215,0.0566109977452154,0.1824514220178719,0.8971692020274139,1.3916028659704005,-0.1625675731046021,0.0709710085620958,0.3493876384491551,0.5105622173586334,-0.2596834506835842,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260403-092454Z_run_seed2.zip,0.0504191495795858,0.0,1,0.0,0,0.5139174253032122,
AAPL,,2,40000,0.0003,0.99,0.02,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.4774193548387097,0.5481481481481482,270,310,1.0,0.5548387096774193,0.3990725207196537,0.4469453376205787,0.5285171102661597,263,308,0.990353697749196,0.512987012987013,0.0360317121064346,-0.3116066709581169,-0.1336233319596099,0.5203401911212306,28.993179082870483,-0.0002278583840621,-0.070636099059278,0.000252289720836,0.0003582050141814,0.0,0.0011612903225806,0.0,-0.001380050712818,0.0138005071281805,-0.0018271072566177,-0.5682303568081345,-8.98248528701529e-06,8.613551107888393e-05,-4.447209214973704e-06,0.0016077170418006,0.0,-0.0026412029569211,0.0264120295692119,0.080334660296309,1.370132947566947,2.16082431412144,-0.0425013174490035,-0.0055814460583208,-0.0285853299984391,-0.0383506740315454,-0.0788062114634614,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260403-092538Z_run_seed2.zip,0.0360317121064346,0.0,1,0.0,0,0.5059963060311702,
NVDA,nvda-direction-ab-20k-ent05-bonus002-dir035,7,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.36451612903225805,0.4263565891472868,258,273,0.8806451612903226,0.4358974358974359,-0.7225295102254237,0.42443729903536975,0.4583333333333333,288,310,0.9967845659163987,0.47419354838709676,-0.3536174629741168,-0.6982868525900265,-0.24387410190470604,0.19944162329778947,52.59201407432556,-0.14746369259464484,-45.7137447043399,-0.0011419594023582746,-0.0009380122368325046,-0.0002083504235716777,0.0013548387096774194,0.0,-0.023159229799457136,0.23159229799457137,-0.04969204593949357,-15.4542262871825,-0.00032021091648676227,-0.00027606683788397563,-1.1039333733143128e-05,0.0013504823151125403,0.0,-0.018602268890804904,0.18602268890804904,-0.30634552133560056,-2.1038516349841467,-2.8731636735355126,-0.351653617012753,-0.11583221600341698,-0.41355224355337705,-0.5870584375954547,-0.28666558966050837,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260406-053353Z_nvda-direction-ab-20k-ent05-bonus002-dir035_seed7.zip,-0.14171606136399867,0.2901579440720581,5,2.047459838209767,1,0.15298077751591888,0.25
NVDA,nvda-direction-ab-20k-ent05-bonus002-dir035,21,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.3967741935483871,0.422680412371134,291,309,0.9967741935483871,0.4336569579288026,-0.7487697872079593,0.42443729903536975,0.4583333333333333,288,310,0.9967845659163987,0.47419354838709676,-0.3536174629741168,-1.1454305194792167,-0.5352126270664535,0.19168333612261595,53.12112903594971,-0.176241272791707,-54.634794565429175,-0.003948488877018706,-0.003731996634938065,-3.740757965694257e-06,0.0045806451612903235,0.0,-0.05582138517226684,0.5582138517226684,-0.07216507517227946,-22.443338378578915,-0.0011845023390581603,-0.0011079345727902712,-1.1039333733143128e-05,0.0037299035369774917,0.0,-0.04017073365917997,0.4017073365917997,-0.7534891882247908,-1.8824529766764364,-2.7901054871718705,-0.8078668056327384,-0.4071707411651644,-0.599025006859665,-0.8846935545466028,-0.6066890855351572,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260406-053540Z_nvda-direction-ab-20k-ent05-bonus002-dir035_seed21.zip,-0.14171606136399867,0.2901579440720581,5,2.047459838209767,1,0.11590482898576299,0.25
NVDA,nvda-direction-ab-20k-ent05-bonus002-dir035,84,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.3967741935483871,0.422680412371134,291,309,0.9967741935483871,0.4336569579288026,-0.7487697872079593,0.42443729903536975,0.4583333333333333,288,310,0.9967845659163987,0.47419354838709676,-0.3536174629741168,-1.1680330676741026,-0.5322444585789055,0.19168333612261595,54.986011266708374,-0.1765041859698311,-54.71629765064765,-0.004169439826215725,-0.003922830775136709,-3.740757965694257e-06,0.0047741935483870965,0.0,-0.05707711844407649,0.5707711844407649,-0.07288207234038478,-22.666324497859666,-0.001154215846333777,-0.0011358968919083397,-1.1039333733143128e-05,0.0036655948553054665,0.0,-0.040538026350784746,0.40538026350784756,-0.7760917364196768,-1.8499605808685107,-2.714881970457962,-0.8284196079941025,-0.4042025726776164,-0.5751854171664037,-0.8587642579973951,-0.6134078189840946,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260406-053730Z_nvda-direction-ab-20k-ent05-bonus002-dir035_seed84.zip,-0.14171606136399867,0.2901579440720581,5,2.047459838209767,1,0.11620164583451778,0.25
