leaderboard_version,ticker,interval,experiment_preset,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,binary_actions,min_hold_bars,bars_per_year,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,13,50000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,7.462406158447266,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225919Z_amd-masked-ppo-v1-tuned_seed13.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,13,50000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,6.088986873626709,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225926Z_amd-masked-ppo-v1-tuned_seed13.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,21,50000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,6.095765829086304,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225932Z_amd-masked-ppo-v1-tuned_seed21.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,21,50000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,6.074592113494873,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225938Z_amd-masked-ppo-v1-tuned_seed21.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,7,50000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.922393083572388,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225944Z_amd-masked-ppo-v1-tuned_seed7.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,7,50000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.838291883468628,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225950Z_amd-masked-ppo-v1-tuned_seed7.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,42,50000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,5.88428521156311,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-225956Z_amd-masked-ppo-v1-tuned_seed42.zip,0.0,0.0,4,inf,1,-0.09191735809242618
2,AMD,1d,daily,amd-masked-ppo-v1-tuned,42,50000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.02,0.1,0.02,0.05,1.0,1,1,3,252,0.07981220657276995,0.0,0,0,0.0,0.0,0.0,0.08430913348946135,0.0,0,0,0.0,0.0,0.0,-0.6216716227090431,-0.4191735809242618,0.0,6.010929822921753,-0.0004451209551704895,-0.1896215269026285,0.0,0.0,0.0,-0.0004451209551704895,0.0,0.0,0.0,0.0,-0.0005018776906658884,-0.21430177391433436,0.0,0.0,0.0,-0.0005018776906658884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216716227090431,1.6473361956666261,2.5914283824442634,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260519-230002Z_amd-masked-ppo-v1-tuned_seed42.zip,0.0,0.0,4,inf,1,-0.09191735809242618
