leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.10,21,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.4983922829581994,0.5400696864111498,287,309,0.9935691318327974,0.5210355987055016,0.15024670816877106,0.6008890323205636,-0.16696729366953444,0.6566209588629767,52.94122385978699,0.1326828402485601,41.131680477053635,0.0023774417419878888,0.002534516724687232,-3.740757965694257e-06,0.016580645161290323,0.0,-0.00258774075373774,0.0258774075373774,0.009846616154860535,3.0622976241616264,-3.0513060903140838e-05,0.0002938670668885585,-1.827651535345137e-05,0.012218649517684888,0.0,-0.006161198347832801,0.061611983478328004,0.9928303635749895,2.16545146813527,3.632405215516131,-0.1203456118317544,-0.03892540776824538,-0.0349187579297055,-0.04190846004910469,-0.2040052762555905,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-063935Z_nvda-downside-ab-20k-ent05-bonus002-dd0.10_seed21.zip,0.027973391110629797,0.22508537448440288,5,8.046410018514743,1,0.5880617344351374
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.10,84,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.4983922829581994,0.5400696864111498,287,309,0.9935691318327974,0.5210355987055016,0.16710166930731618,0.3214204212670946,-0.12165135108835745,0.6566209588629767,49.53954577445984,0.1263038239368447,39.154185420421854,0.0018994853251569454,0.00205255196476477,-3.740757965694257e-06,0.011032258064516128,0.0,-0.0037476994776524217,0.037476994776524206,0.018753975354932725,5.832486335384077,9.847315578405264e-05,0.0002688495934324773,-1.3528356548643008e-05,0.010353697749196141,0.0,-0.005729545609092702,0.05729545609092702,0.7133617525215206,1.6760944948865406,2.5649155846940226,-0.17176390987252976,0.006390534812931614,0.12522721773552165,0.17139390140560462,-0.1944063214056434,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-064117Z_nvda-downside-ab-20k-ent05-bonus002-dd0.10_seed84.zip,0.027973391110629797,0.22508537448440288,5,8.046410018514743,1,0.5925933286932551
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.10,13,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.46808369113403536,-0.030411302473858814,0.6566209588629767,50.60332894325256,0.11255440552256253,34.891865711994384,0.002206775568407706,0.002345229988992969,-3.740757965694257e-06,0.01038709677419355,0.0,-0.00460769334383145,0.04607693343831449,0.029655245032818602,9.222781205206585,0.0004406998008177347,0.0006535447063979695,-1.1039333733143128e-05,0.005916398713826367,0.0,-0.006388991497290505,0.06388991497290503,0.8600250223884613,1.7350197205343445,2.658729974300321,-0.20390888961450926,0.09763058342743025,0.41870636528918465,0.5153560719773636,-0.22924326036477916,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-063842Z_nvda-downside-ab-20k-ent05-bonus002-dd0.10_seed13.zip,0.027973391110629797,0.22508537448440288,5,8.046410018514743,1,0.6017971825674808
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.10,7,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.05806451612903226,0.0,0,0,0.0,0.0,0.0,0.0707395498392283,0.0,0,0,0.0,0.0,0.0,-0.391941331254426,-0.12080510468180661,0.0,56.94137620925903,-0.0023443415706650367,-0.7267458869061614,0.0,0.0,-0.0023443415706650367,0.0,0.0,0.0,0.0,0.0022965336844398884,0.7142219758608053,2.353917144762127e-05,8.091633394369915e-06,-0.002076742969170624,6.430868167202572e-05,0.0,-9.967898630653711e-06,9.967898630653711e-05,0.0,0.0,0.0,0.0,0.007236781219482458,0.4446333632132072,0.12233218202894894,-0.010394799935745769,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-063752Z_nvda-downside-ab-20k-ent05-bonus002-dd0.10_seed7.zip,0.027973391110629797,0.22508537448440288,5,8.046410018514743,1,-0.062080510468180666
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.10,42,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.3967741935483871,0.422680412371134,291,309,0.9967741935483871,0.4336569579288026,-0.7487697872079593,0.42443729903536975,0.4583333333333333,288,310,0.9967845659163987,0.47419354838709676,-0.3536174629741168,-0.868428692807616,-0.28222878352244263,0.19168333612261595,52.39864420890808,-0.15758707355914112,-48.851992803333744,-0.0019764812561582296,-0.0015809413215202503,-3.740757965694257e-06,0.0033548387096774194,0.0,-0.033348056142122794,0.33348056142122795,-0.05190154362994189,-16.14138006891193,-0.0003857332578534934,-0.00043547546889337205,-1.1039333733143128e-05,0.0015434083601286175,0.0,-0.021857158036679706,0.21857158036679705,-0.47648736155319005,-2.131217819904627,-2.9630982696655956,-0.5369097026008705,-0.15418689762115356,-0.3494834329617866,-0.5429235685454403,-0.36141330855548737,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-064028Z_nvda-downside-ab-20k-ent05-bonus002-dd0.10_seed42.zip,0.027973391110629797,0.22508537448440288,5,8.046410018514743,1,0.11167781172226172
