seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
21,15000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.1,0.4,0.05,0.1,0.05,1.0,1,0.44660194174757284,0.5227272727272727,0.525974025974026,0.16781173727996213,0.44193548387096776,0.5131086142322098,0.5225806451612903,0.13597915926011006,0.4527181916118366,0.04506033928272459,13.923644838361898,0.0005158482203719497,0.00023266391138770568,-5.108094749997618e-06,0.048381877022653716,-0.004064941776938792,0.040649417769387915,0.019673932360427877,6.098919031732642,0.0002380339869427019,0.00017826986184866947,0.0,0.02661290322580645,-0.007355274714169947,0.07355274714169947
7,15000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.1,0.4,0.05,0.1,0.05,1.0,1,0.1423948220064725,0.0,0.0,0.0,0.13870967741935483,0.0,0.0,0.0,0.0,-0.0005383327630885069,-0.16634482379434862,0.0,0.0,-0.0005383327630885069,0.0,0.0,0.0,-0.000613015545028313,-0.19003481895877705,0.0,0.0,-0.000613015545028313,0.0,0.0,0.0
13,15000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.1,0.4,0.05,0.1,0.05,1.0,1,0.1423948220064725,0.0,0.0,0.0,0.13870967741935483,0.0,0.0,0.0,0.0,-0.0005383327630885069,-0.16634482379434862,0.0,0.0,-0.0005383327630885069,0.0,0.0,0.0,-0.000613015545028313,-0.19003481895877705,0.0,0.0,-0.000613015545028313,0.0,0.0,0.0
