seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown
121,40000,0.0003,0.99,0.05,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.1,1.0,1,0.1423948220064725,1.0,1.0,0.01311463593299611,0.1382636655948553,0.0,0.0,0.0,-0.4546230825184665,-0.08275643443215785,0.8026229271865992,75.64811635017395,-0.03813665907694856,-11.784227654777105,7.2312163640924375e-06,-3.8653894608102633e-07,-0.0010763137173726532,0.0006472491909385113,-8.421460899882326e-08,8.421460899882326e-07,-0.0012264224633374242,-0.3814173860979389,0.0,0.0,-0.0012264224633374242,0.0,0.0,0.0,0.002233796685900069,0.8055386143206975,0.0,-0.0002602231418064038,0.0,0.0,0.0,0.0,0.4568568792043666,1.8417693046949546,2.4848237072969352,-0.13557738905659378,0.08275643443215785,0.3976988806903395,0.5367961186734007,-0.2288330692157109
84,40000,0.0003,0.99,0.05,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.1,1.0,1,0.48220064724919093,0.5670498084291188,0.5511551155115512,0.6329616096891468,0.17684887459807075,0.4523809523809524,0.4897959183673469,-0.1760059567036396,-0.3341857191408373,-0.16932173599290434,0.5754637608058542,74.90487456321716,0.11159750848124897,34.48363012070593,0.0003795514298552926,0.0005314557544277315,-1.7416794436373728e-05,0.004207119741100324,-0.0009241166141624762,0.00924116614162476,0.05951638582268452,18.509595990854887,-0.00028927745222575636,0.00012398057600464032,-0.0009191616487904114,0.0315112540192926,-0.007825081227840258,0.07825081227840258,0.1226711600635293,1.7725450591556007,2.3676942890549015,-0.04241188977969301,-0.08656530156074649,-1.869268678809067,-1.2557572463948623,-0.12122000920382714,0.4568568792043666,1.8417693046949546,2.4848237072969352,-0.13557738905659378,0.08275643443215785,0.3976988806903395,0.5367961186734007,-0.2288330692157109
42,40000,0.0003,0.99,0.05,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.1,1.0,1,0.1779935275080906,0.3958333333333333,0.41818181818181815,-0.1513571059747214,0.17363344051446947,0.3783783783783784,0.375,-0.0664804748067398,-0.6036683108244066,-0.13028217917092355,0.2930997909262678,73.70220565795898,-0.05273529674613581,-16.295206694555965,-0.0005097850241465237,-0.00011208369102282547,-0.0009217435597653698,0.07766990291262135,-0.007139263156484982,0.0713926315648498,0.0009033389259080673,0.28093840595740893,-0.0001505338537581314,-5.199130986154598e-05,-0.0011087913453531638,0.08135048231511254,-0.006902106418935504,0.06902106418935505,-0.14681143162004007,-2.632109448087225,-3.5869079610393286,-0.15617389222478206,-0.047525744738765696,-0.6238767562061,-0.9733921647900048,-0.12255550088990563,0.4568568792043666,1.8417693046949546,2.4848237072969352,-0.13557738905659378,0.08275643443215785,0.3976988806903395,0.5367961186734007,-0.2288330692157109
