seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown
13,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.08512571205065234,-0.14432973378635827,0.5780397941161115,0.10750581444536214,33.2192966636169,0.001380434230448277,0.001690091284349124,0.0,0.0018770226537216828,-0.002764485420098967,0.027644854200989666,0.03410406715644603,10.606364885654715,8.547431080747247e-05,6.080711522332033e-05,0.0,0.00019292604501607716,-0.006324255787341533,0.06324255787341534,0.49891778250132,1.8181613791602307,2.4902111136429808,-0.13879943652896587,-0.015327170806508361,0.08410319923552309,0.12711562091410575,-0.26536499137114755,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,5000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.08586905435718384,-0.14432973378635827,0.5780397941161115,0.10158435409629454,31.389565415755012,0.0013828604609921636,0.0016874719722957282,0.0,0.001553398058252427,-0.0027709876152673006,0.027709876152673,0.03410406715644603,10.606364885654715,8.547431080747247e-05,6.080711522332033e-05,0.0,0.00019292604501607716,-0.006324255787341533,0.06324255787341534,0.4996611248078515,1.811271060137359,2.479174351079024,-0.13872366874396513,-0.015327170806508361,0.08410319923552309,0.12711562091410575,-0.26536499137114755,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,20000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.08590296278991882,-0.14432973378635827,0.5780397941161115,0.10096385185228789,31.197830222356956,0.0013825930367407364,0.0016856086663530766,0.0,0.0016181229773462784,-0.0027643145813606614,0.027643145813606614,0.03410406715644603,10.606364885654715,8.547431080747247e-05,6.080711522332033e-05,0.0,0.00019292604501607716,-0.006324255787341533,0.06324255787341534,0.4996950332405865,1.8150738186077502,2.486677984984749,-0.13872021448012928,-0.015327170806508361,0.08410319923552309,0.12711562091410575,-0.26536499137114755,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,20000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.08322377318934171,-0.12255523338559926,0.5780397941161115,0.10050433928901756,31.055840840306427,0.0013757787790836195,0.0016460637114570748,0.0,0.00032362459546925567,-0.002685953878854953,0.026859538788549523,0.035537558766243066,11.052180776301594,0.00014363221190341052,4.66464180920902e-05,0.0,0.0017363344051446947,-0.005321683070911377,0.053216830709113754,0.4970158436400094,1.8261745903788564,2.4941748669626405,-0.13644575822167637,0.00644732959425065,0.14582675007757556,0.21813084622560772,-0.2312201408769533,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,20000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5735849056603773,0.5537459283387622,0.6888772029831041,0.3279742765273312,0.54421768707483,0.5325443786982249,0.10652553713088864,-0.2814517290379328,-0.10627457097397852,0.5906916719284382,0.09966443052932893,30.79630903356264,0.00040721260694872755,0.0004958852368877808,-3.9982964334552594e-06,0.00032362459546925567,-0.0007565764820518315,0.007565764820518314,-0.03419739557866096,-10.635390024963558,8.166978631058454e-05,-0.00010681745105423262,-0.0004408451192829689,0.0017363344051446947,-0.0012140397423206415,0.012140397423206413,0.13234034141273487,1.9164174890853622,2.577778759902187,-0.04208845213654555,0.02272799200587139,0.2853857775954036,0.3263062755396435,-0.08804575408234594,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,20000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.47896440129449835,0.5648854961832062,0.5508196721311476,0.6317472532095609,0.4340836012861736,0.5153846153846153,0.5115511551155115,-0.06075403213764419,-0.21631005556441418,-0.20176627340781816,0.5740381003728595,0.09663541733091466,29.86034395525263,0.000632628242183631,0.001444272366141748,-1.6753487818861132e-05,0.016051779935275078,-0.0037490542526228813,0.03749054252622881,0.030947972716446923,9.624819514814993,-0.00014996647903105112,-0.00014420261284459263,-4.208741902836332e-05,0.01022508038585209,-0.005935785394001844,0.05935785394001843,0.1974820148862535,0.9856063817754488,1.3090633091892623,-0.12523694517159722,-0.07276371042796825,-0.16657432203269054,-0.24961761173482727,-0.24816411980453867,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
7,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4886731391585761,0.569811320754717,0.551948051948052,0.5896369927373015,0.4405144694533762,0.5150375939849624,0.5096774193548387,-0.053621227429116125,-0.11152018938320718,-0.15829523771123444,0.5684174745092343,0.09477523532436243,29.285547715227988,0.000894007615800075,0.0011335839923757533,-3.7158848074955565e-06,0.013139158576051782,-0.0021787054482460756,0.021787054482460756,0.048064279652526236,14.94799097193566,-3.76452379668351e-05,0.00015227985939706725,-2.2377155583274922e-06,0.0012218649517684887,-0.004391492631839377,0.04391492631839377,0.3022718810674605,1.5603427334006525,2.1623307592579923,-0.10254008282756033,-0.029292674731384527,-0.049295150559198905,-0.0729801059555058,-0.1819049367169352,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
7,20000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.0305682226983359,-0.0424241056528895,-0.1584832488839931,0.5780397941161115,0.014429250771637,4.458638488435856,0.0010787354655247,0.0014079959986368,0.0,0.0154045307443365,-0.0025468140377471,0.0254681403774719,-0.0026666511491129,-0.8293285073741419,-3.682501271867845e-05,4.02666099778494e-05,0.0,0.0021864951768488,-0.0048304146267354,0.0483041462673544,0.3713679647977781,1.5750584464030757,2.143382500735697,-0.1289503614682424,-0.0294806859041432,-0.0475789106314292,-0.0699491423382364,-0.1929229778960701,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
7,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4886731391585761,0.569811320754717,0.551948051948052,0.6236547425256564,0.4405144694533762,0.5169811320754717,0.511326860841424,-0.0116728264655371,-0.0289689709546852,-0.164067608065676,0.5752210244669054,0.0141383760508086,4.368758199699871,0.0011023517685924,0.0011901438524015,-1.576492559591321e-06,0.014757281553398,-0.0021362311269628,0.0213623112696282,-0.0021972019193858,-0.6833297969290135,-4.5108573961761496e-05,9.084970273399416e-05,-1.1833420388715372e-05,0.0044372990353697,-0.006609356356362,0.0660935635636209,0.3848230994959825,1.7288310135214615,2.434546686976145,-0.1199624917760779,-0.035065045085826,-0.0550504869668521,-0.0747199890953894,-0.2329172743761229,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.3858520900321543,0.5272727272727272,0.5115384615384615,0.1448524382463849,-0.0424180861389151,-0.1960946646928243,0.5780397941161115,0.0020511779197061,0.6338139771892063,0.0010627920215608,0.00126388992174,0.0,0.0026537216828478,-0.0021076972573115,0.0210769725731159,0.0099159658932422,3.0838653927983444,-0.0001512123683345,-0.0003525648653893,-0.0002998060931681,0.017684887459807,-0.0071945054021758,0.0719450540217582,0.3713739843117525,1.8262226965061097,2.4650664744283493,-0.1096294054152317,-0.0670921017129744,-0.1897567586880187,-0.2807154316114132,-0.2094527470829171,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
