Date,Open,High,Low,Close,Volume,RawClose,NewsCount,SentimentStd,SentimentMin,SentimentMax,SentimentMean
2018-01-02,0.0,0.0020568866168107,-0.0189165254541349,0.0,0.0,64.27120161056519,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0043928993897293,0.0074560138711493,-0.0143187320064095,0.015401579659542,0.1901808604576653,65.04646348953247,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0018957794597954,0.0093161667993025,-0.0072872307179618,0.0024210115694001,-0.0739714480055714,65.18277379444667,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0054643871335548,0.0024192165918773,-0.0125396779993162,0.0116544793718967,-0.0532421749856588,66.03597749982562,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0036961938417767,0.0055239895946517,-0.0162443816091217,0.0165990774416252,0.1786737281801096,66.59697573525565,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.002383560202217,0.0070104274197043,-0.0085761569659902,-0.0011323410024587,-0.2025172620677275,66.53449930463519,0.0,0.0,0.0,0.0,0.0
2018-01-10,-0.0068984356541094,0.0020159885073775,-0.0130983639997957,0.0007375509253781,-0.1450755180388187,66.48114190782819,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0031022492704797,0.0053973347073703,-0.007818288348536,0.0055719985791193,-0.0125588420879684,66.74835818154472,0.0,0.0,0.0,0.0,0.0
2018-01-12,-0.0063342545044219,0.0053967482090757,-0.013040586334104,0.0016978140492865,0.4808212141020383,66.14630903516498,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0075621861793509,0.0222462683060858,-0.0071854581699335,-0.0037375678917689,0.1411443741956099,65.81984458650861,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0039228828424154,0.0048600429777395,-0.0184011103622699,0.0105776556781572,-0.1747812583891901,66.14028685433524,0.0,0.0,0.0,0.0,0.0
2018-01-18,-0.0010906434778524,0.0089428369570387,-0.0076027523322978,1.218123372743423e-05,-0.1594061860624996,66.39454759870257,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.005203618331483,0.005624540366697,-0.0087715893903152,0.00734241802492,0.1549274211615662,66.6994868006025,0.0,0.0,0.0,0.0,0.0
2018-01-22,-0.0010432938014793,0.0036000213709784,-0.0174778337329789,0.0136457644352556,-0.1232522254232405,67.86901133401054,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0079214274270549,0.0069131269629733,-0.0103326669198757,0.0125081479640326,0.0864105702371727,68.8482266153608,0.0,0.0,0.0,0.0,0.0
2018-01-24,0.0047474116323975,0.0198261165392579,-0.0061023244725035,-0.0102861403634172,0.1619041607656035,68.18847703933716,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.0068898220335198,0.0128148295188873,-0.0060133837716154,-0.0006443252435519,-0.2076652633068175,68.43001113619123,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.00698316228838,0.0009420956815678,-0.0166964895963056,0.0145077147908757,0.037342693099958,69.3368445805141,0.0,0.0,0.0,0.0,0.0
2018-01-29,-0.0012409961641648,0.0104325383509149,-0.0115678732320794,0.000120503348903,0.0378073295366694,68.79589278357369,0.0,0.0,0.0,0.0,0.0
2018-01-30,-0.0093831279602385,0.0071818551609386,-0.0159031507821799,-0.0047350732932989,0.0780637796300054,68.783522605896,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0070385684620995,0.0091013132627429,-0.0100937952827535,0.0109217598527086,0.1095279726931899,69.31123835699898,0.0,0.0,0.0,0.0,0.0
2018-02-01,-0.0064344278104651,0.0210583873994455,-0.0094273483588547,-0.0072818188765356,0.1885914207048727,69.5957612991333,0.0,0.0,0.0,0.0,0.0
2018-02-02,-0.0032101819812653,0.0264398224759821,-0.0064196345884057,-0.0218692495999935,0.1116829976091443,68.3424517086574,0.0,0.0,0.0,0.0,0.0
2018-02-05,-0.0171541042768878,0.0547028046286247,-0.0147112285058397,-0.0440057985730886,0.0664194477834081,65.5075947216579,0.0,0.0,0.0,0.0,0.0
2018-02-06,-0.0218041826199192,0.0027347945840899,-0.0575875991407987,0.0312642618279586,0.0451915769246364,67.38073791776385,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.0032059056082735,0.0237214596970125,-0.00670679424965,-0.0093492024105848,-0.2762235955812672,66.00064120973859,0.0,0.0,0.0,0.0,0.0
2018-02-08,0.0058655428600152,0.0656454248283521,-0.0013919028528533,-0.0505926267039145,0.2664475176510161,62.82019131524222,0.0,0.0,0.0,0.0,0.0
2018-02-09,0.027335576392759,0.017685002205342,-0.0506793455641048,0.021954884338903,0.2749116620304964,64.1689532143729,0.0,0.0,0.0,0.0,0.0
2018-02-12,0.0123270214044644,0.011004238004881,-0.0219381474301062,0.0135918383593739,-0.4857769935674564,65.00091736657279,0.0,0.0,0.0,0.0,0.0
2018-02-13,-0.0035184124014493,0.0058213512968867,-0.0191686063053824,0.0092404788584744,-0.4128892974019586,64.98436873299735,0.0,0.0,0.0,0.0,0.0
2018-02-14,-0.0060372419644785,0.0035305674530062,-0.0284860916780143,0.0204555701187662,0.1559610781833993,66.55469002042499,0.0,0.0,0.0,0.0,0.0
2018-02-15,0.0094306072996413,0.0027692310186452,-0.022387383814704,0.0198152377613813,-0.0193398021035053,67.42247765404838,0.0,0.0,0.0,0.0,0.0
2018-02-16,-0.0030875288044089,0.0165546831389745,-0.0042924435153603,-0.0052137206224995,-0.0666284531505146,66.87700019563947,0.0,0.0,0.0,0.0,0.0
2018-02-20,-0.0028783984107706,0.0119229219049739,-0.011573455705201,0.0053071326257016,-0.0278603829669472,66.97635746002197,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.006151177674312,0.0219522118244186,-0.0025927946292283,-0.0032376809311321,0.0385797748406392,67.17982230867658,0.0,0.0,0.0,0.0,0.0
2018-02-22,0.0056894518707122,0.0099660680855355,-0.0103004285938127,0.0080702608677662,-0.1300952012590553,67.5341078894479,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0088095382647158,0.0015234936951926,-0.014887109595379,0.0179528898024594,-0.0624769477903325,68.89253418786186,0.0,0.0,0.0,0.0,0.0
2018-02-26,0.0052420020725446,0.0025326708318935,-0.0119550524271151,0.0127922921851494,0.046552093434678,69.76678507668632,0.0,0.0,0.0,0.0,0.0
