Date,LogReturn,VolLogDiff,RelRange,RelOpen,RelMACD,RSI_Centered,RawClose,OrigOpen,OrigHigh,OrigLow,OrigClose,NewsCount,SentimentStd,SentimentMin,SentimentMax,SentimentConfidenceMean,SentimentGeminiShare,SentimentOllamaShare,SentimentMean
2018-01-02,0.0,0.0,0.000326326745811113,0.0,0.0,0.0,64.27120161056519,0.0,0.0020568866168107253,-0.018916525454134976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.011990181948778418,0.17410527915297414,0.0003347567985931009,-0.9999316505794252,0.0009507704052685235,0.0,65.04646348953247,0.004392899389729358,0.007456013871149343,-0.014318732006409571,0.015401579659542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.00209339097020418,-0.25095549027699227,0.00025472063477419794,-0.9999708549956738,0.0018481371426293978,0.0,65.18277379444667,0.0018957794597954658,0.009316166799302536,-0.007287230717961874,0.0024210115694001427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.01300447872217038,0.022138264022284297,0.00022652643540005364,-0.9999161682325642,0.003529666409361282,0.0,66.03597749982562,0.005464387133554841,0.002419216591877366,-0.012539677999316276,0.01165447937189674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.008459459995079131,0.21910179429410873,0.0003268672633170269,-0.9999440275743358,0.0054569206631821235,0.0,66.59697573525565,0.0036961938417767576,0.005523989594651756,-0.016244381609121703,0.016599077441625237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,-0.0009385674602956463,-0.39068493697576423,0.00023426319501300853,-0.9999642091825356,0.006859584567108441,0.0,66.53449930463519,0.0023835602022170515,0.007010427419704384,-0.00857615696599025,-0.0011323410024587366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,-0.0008022725625732528,0.06955295064551223,0.00022734796776096813,-1.0001036820856277,0.007818648147881151,0.0,66.48114190782819,-0.006898435654109493,0.002015988507377545,-0.013098363999795724,0.0007375509253781784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.004011373334802202,0.14410376823112073,0.00019799173217058085,-0.9999533364021517,0.008762056231501777,0.0,66.74835818154472,0.0031022492704797827,0.0053973347073703925,-0.007818288348536009,0.005571998579119354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,-0.009060608340922783,0.4052351791901753,0.00027873565149913476,-1.0000948975327182,0.00878558869418203,0.0,66.14630903516498,-0.006334254504421948,0.0053967482090757635,-0.013040586334104052,0.001697814049286531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,-0.004947709782842191,-0.26056521237076546,0.00044715581844524986,-0.9998856748579072,0.00828861678665742,0.0,65.81984458650861,0.007562186179350989,0.022246268306085813,-0.007185458169933593,-0.0037375678917689497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.004856662299256912,-0.3241383823574282,0.0003516941707742958,-0.9999403996945441,0.008119492051665301,0.0,66.14028685433524,0.003922882842415487,0.0048600429777395805,-0.01840111036226991,0.010577655678157208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.003836894011252855,0.018460070902959674,0.0002492010245982893,-1.0000164898510382,0.00820105738532714,0.0,66.39454759870257,-0.0010906434778524662,0.00894283695703876,-0.007602752332297806,1.218123372743423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0045823201146482865,0.31768421871997576,0.0002158356900113707,-0.9999216258183891,0.008523098668759095,0.0,66.6994868006025,0.0052036183314830686,0.005624540366697081,-0.008771589390315273,0.00734241802492002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.017382284806970856,-0.2755734314075493,0.0003105667032664564,-1.0000156417065784,0.009932244591385649,0.6326926638652222,67.86901133401054,-0.0010432938014793994,0.003600021370978463,-0.017477833732978953,0.013645764435255638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.014324924067269635,0.21441513560410502,0.0002504900232100007,-0.9998832835889112,0.012015747550260062,0.6866512706779869,68.8482266153608,0.007921427427054928,0.006913126962973383,-0.01033266691987573,0.012508147964032641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,-0.009628875415474863,0.06718096982701714,0.00038024666538312137,-0.9999310452590316,0.012981838742433367,0.47968152571740774,68.18847703933716,0.00474741163239759,0.01982611653925792,-0.0061023244725035685,-0.010286140363417287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.003535895495976604,-0.3828315063197969,0.0002751455535062008,-0.9998989591448194,0.013733640440919626,0.4879078720042162,68.43001113619123,0.0068898220335198756,0.012814829518887365,-0.006013383771615454,-0.0006443252435519734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.013164945036249738,0.26943366963666315,0.00025438978921793156,-0.9998979517587031,0.015059618604479698,0.4920013460122394,69.3368445805141,0.006983162288380029,0.0009420956815678101,-0.016696489596305653,0.014507714790875712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,-0.00783238749494595,0.00044780997943053014,0.0003197925151172305,-1.000017898076725,0.01556667959369472,0.3287355712215648,68.79589278357369,-0.001240996164164811,0.010432538350914924,-0.011567873232079433,0.0001205033489030592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,-0.00017982599614933207,0.0380564850159792,0.00033561825664828296,-1.0001363908160876,0.015682251568293,0.3387640211944199,68.783522605896,-0.00938312796023853,0.007181855160938674,-0.015903150782179902,-0.004735073293298951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.00764284345346149,0.02876803953992907,0.00027694078190652037,-0.999897670718285,0.016080540340131,0.39786170720224134,69.31123835699898,0.007038568462099556,0.009101313262742978,-0.010093795282753528,0.010921759852708648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.004096601909873123,0.06883425088698594,0.0004380401218296595,-1.0000928338313235,0.016562359224812733,0.39932316158710646,69.5957612991333,-0.006434427810465183,0.021058387399445527,-0.009427348358854726,-0.0072818188765356095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-02,-0.01817254340440817,-0.06689384484637322,0.0004808059448096343,-1.000046126113449,0.015647837983912,0.2822140275629732,68.3424517086574,-0.0032101819812653254,0.02643982247598212,-0.006419634588405713,-0.021869249599993573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-05,-0.04236503533840475,-0.0415683545223198,0.0010596333666257338,-1.0002510021787046,0.011691029415615272,-0.030344314398385988,65.5075947216579,-0.017154104276887887,0.05470280462862477,-0.01471122850583974,-0.04400579857308865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
