ArticleKey,SentimentScore,SentimentConfidence,SentimentProvider,SentimentModel,CachedAtUTC
cab946f7b8183ef606c101fcf78c7dc2a056c367ae057c3489f6013b696df73a,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.082410+00:00
401a07001b6268b2da6d36f8f1ae8ef64760cb284ae3e31216b54a29497fb6ab,0.02857142857142857,0.14285714285714285,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.082975+00:00
d530dde3de6f4a9278faf0cedc77cb5674cd460e4e3b504cb0ecb5713a65dc52,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.083522+00:00
9fe13aa42c85f7e4d412d6e40187dd7d0aff34dc69c708eb7a383d337fb2b3fa,-0.011904761904761904,0.05952380952380952,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.084094+00:00
65563f04867f01758d49b823e1db42c3683977938fce44d28c895954d5f7dd01,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.084661+00:00
08165bd5baa6be14a8e922733935551fcf0452a53e393ecd4b0ba1e669520416,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.216058+00:00
d504c14451e364ba668bff5c49118284e90b648eeab8dd791b049dbd08c8afa8,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.217026+00:00
a00acdaff7727083722f4b31f46a10c794e7bf2963fa3929c995fff1d9988514,-0.04040404040404041,0.20202020202020202,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.217598+00:00
9f7b2961e8ed992395d160ce6dee2012d05beb0bce043dc661254d3f17545081,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.218106+00:00
ef335ae5882ccee93bb4e6675434c1f1ccb62c53d6ac256e4a84e725aa8924b4,0.02857142857142857,0.14285714285714285,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.218533+00:00
394c01c2776a4101f1cc5c7473e802e88ce623e22826a7400bd0e4c05085f4e8,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.218974+00:00
53da0169e3840d60e53fec85f4e418b5891320c224f5d6cc3ca6dcd0b8472398,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.219421+00:00
1dcca9f775cb8964b1ee05ecf813bb7544a1b4508f5dc16f242446604041669a,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.219810+00:00
fdda61e30f83fe4a8f6e168f31eeaa962ed1676f74291c183f8387a4adb53f95,-0.014285714285714285,0.07142857142857142,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.220217+00:00
33a0bca8810eecf6f68d4c8fe94c8a2e6b85ea6cad0bdf4bda6fff6236a493d1,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.220615+00:00
