step,value_estimate,in_cooldown,forced_action
80,1.2062617540359497,False,False
160,0.018738150596618652,False,False
240,0.24313926696777344,False,False
320,0.7632959485054016,False,False
400,0.5159585475921631,False,False
480,0.19760942459106445,False,False
560,-0.5694032311439514,False,False
640,0.018726706504821777,False,False
720,0.13353466987609863,False,False
800,0.5672621130943298,False,False
880,1.3883070945739746,False,False
960,1.2977983951568604,False,False
1040,1.7610375881195068,False,False
1120,1.1528942584991455,False,False
1200,0.752489447593689,False,False
1280,1.737141728401184,False,False
1360,0.8996260166168213,False,False
1440,1.7484540939331055,False,False
1520,1.0201665163040161,False,False
1600,0.013185828924179077,False,False
1680,0.010553598403930664,False,False
1760,0.9773772954940796,False,False
1840,1.1022032499313354,False,False
1920,0.017890453338623047,False,False
2000,0.9102805256843567,False,False
2080,0.015210151672363281,False,False
2160,-0.4566217064857483,False,False
2240,-0.48647594451904297,False,False
2320,-0.6110978126525879,False,False
2400,0.8496899604797363,False,False
2480,1.605786919593811,False,False
2560,0.9003563523292542,False,False
2640,0.014571458101272583,False,False
2720,1.060638666152954,False,False
2800,0.8279147744178772,False,False
2880,1.0185884237289429,False,False
2960,0.715979814529419,False,False
3040,0.522205114364624,False,False
3120,0.6820911169052124,False,False
3200,0.7551726698875427,False,False
3280,0.7617453932762146,False,False
3360,-0.0020030736923217773,False,False
3440,0.7266907095909119,False,False
3520,0.7525774240493774,False,False
3600,1.0571691989898682,False,False
3680,0.6956586241722107,False,False
3760,0.9433267116546631,False,False
3840,0.0035706758499145508,False,False
3920,0.5256190299987793,False,False
4000,0.006119817495346069,False,False
4080,0.0033904314041137695,False,False
4160,0.3084636926651001,False,False
4240,0.6269921064376831,False,False
4320,0.3381633162498474,False,False
4400,0.2842908501625061,False,False
4480,0.006687134504318237,False,False
4560,0.6555391550064087,False,False
4640,0.009948700666427612,False,False
4720,0.033182501792907715,False,False
4800,0.008357316255569458,False,False
4880,0.005071699619293213,False,False
4960,0.009518682956695557,False,False
5040,0.6421629190444946,False,False
5120,1.032365322113037,False,False
5200,0.01846054196357727,False,False
5280,0.17513346672058105,False,False
5360,0.016853541135787964,False,False
5440,-0.6787537932395935,False,False
5520,0.6647817492485046,False,False
5600,-0.6822746992111206,False,False
5680,0.01582711935043335,False,False
5760,-0.33570003509521484,False,False
5840,-0.8253927230834961,False,False
5920,-0.8638221025466919,False,False
6000,-0.721663236618042,False,False
6080,-0.3351091742515564,False,False
6160,0.018325328826904297,False,False
6240,0.8835909962654114,False,False
6320,0.0182378888130188,False,False
6400,-0.1276789903640747,False,False
6480,0.1222071647644043,False,False
6560,0.012640804052352905,False,False
6640,-0.8793473243713379,False,False
6720,0.5627250671386719,False,False
6800,-0.7749519348144531,False,False
6880,0.013062387704849243,False,False
6960,0.013563424348831177,False,False
7040,-0.7251396179199219,False,False
7120,-0.4085988998413086,False,False
7200,0.01834908127784729,False,False
7280,0.018369019031524658,False,False
7360,-0.4662212133407593,False,False
7440,-0.27364104986190796,False,False
7520,-0.7228084802627563,False,False
7600,0.4046834111213684,False,False
7680,0.018441617488861084,False,False
7760,0.12614643573760986,False,False
7840,0.017106562852859497,False,False
7920,0.017050862312316895,False,False
8000,-0.6050336360931396,False,False
8080,0.016143113374710083,False,False
8160,-0.7460089325904846,False,False
8240,-0.7575897574424744,False,False
8320,0.5271948575973511,False,False
8400,-0.35997867584228516,False,False
8480,-0.8447219133377075,False,False
8560,-0.45739811658859253,False,False
8640,-0.8106083273887634,False,False
8720,0.012406975030899048,False,False
8800,-0.729516863822937,False,False
8880,-0.4314607083797455,False,False
8960,0.2013724446296692,False,False
9040,-0.7673460841178894,False,False
9120,-0.8052893877029419,False,False
9200,-0.004846096038818359,False,False
9280,0.0005843937397003174,False,False
9360,-0.33795392513275146,False,False
9440,-0.0015806257724761963,False,False
9520,-7.426738739013672e-05,False,False
9600,-0.8205680847167969,False,False
9680,-0.7596890926361084,False,False
9760,-0.08134067058563232,False,False
9840,0.0010883212089538574,False,False
9920,0.40127259492874146,False,False
10000,-0.6652463674545288,False,False
10080,-0.577382504940033,False,False
10160,-0.005177795886993408,False,False
