step,value_estimate,in_cooldown,forced_action
5040,-0.20148324966430664,False,False
5120,-0.20147886872291565,False,False
5200,-0.2014772891998291,False,False
5280,-0.2014726996421814,False,False
5360,-0.2014770209789276,False,False
5440,-0.20147830247879028,False,False
5520,-0.2014768123626709,False,False
5600,-0.20147418975830078,False,False
5680,-0.20147013664245605,False,False
5760,-0.2014719843864441,False,False
5840,-0.20147466659545898,False,False
5920,-0.20147013664245605,False,False
6000,-0.20147302746772766,False,False
6080,-0.20147427916526794,False,False
6160,-0.20147106051445007,False,False
6240,-0.2014693021774292,False,False
6320,-0.2014685571193695,False,False
6400,-0.20146873593330383,False,False
6480,-0.20146924257278442,False,False
6560,-0.2014685571193695,False,False
6640,-0.20146894454956055,False,False
6720,-0.2014692723751068,False,False
6800,-0.20146971940994263,False,False
6880,-0.20146873593330383,False,False
6960,-0.20146891474723816,False,False
7040,-0.20146793127059937,False,False
7120,-0.2014681100845337,False,False
7200,-0.20146822929382324,False,False
7280,-0.2014680802822113,False,False
7360,-0.20146796107292175,False,False
7440,-0.20146822929382324,False,False
7520,-0.20146778225898743,False,False
7600,-0.20146745443344116,False,False
7680,-0.20146754384040833,False,False
7760,-0.20146754384040833,False,False
7840,-0.20146775245666504,False,False
7920,-0.20146775245666504,False,False
8000,-0.2014675736427307,False,False
8080,-0.2014675736427307,False,False
8160,-0.2014676332473755,False,False
8240,-0.2014676332473755,False,False
8320,-0.2014676332473755,False,False
8400,-0.2014675736427307,False,False
8480,-0.2014676034450531,False,False
8560,-0.2014675736427307,False,False
8640,-0.20146754384040833,False,False
8720,-0.20146751403808594,False,False
8800,-0.2014676034450531,False,False
8880,-0.2014676034450531,False,False
8960,-0.2014676034450531,False,False
9040,-0.2014676034450531,False,False
9120,-0.2014676034450531,False,False
9200,-0.2014676034450531,False,False
9280,-0.2014676034450531,False,False
9360,-0.2014675736427307,False,False
9440,-0.2014675736427307,False,False
9520,-0.2014675736427307,False,False
9600,-0.2014675736427307,False,False
9680,-0.2014675736427307,False,False
9760,-0.2014675736427307,False,False
9840,-0.2014675736427307,False,False
9920,-0.2014675736427307,False,False
10000,-0.2014675736427307,False,False
10080,-0.2014675736427307,False,False
10160,-0.2014675736427307,False,False
10240,-0.2014675736427307,False,False
10320,-0.2014675736427307,False,False
10400,-0.2014675736427307,False,False
10480,-0.2014675736427307,False,False
10560,-0.2014675736427307,False,False
10640,-0.2014675736427307,False,False
10720,-0.2014675736427307,False,False
10800,-0.2014676034450531,False,False
10880,-0.2014676034450531,False,False
10960,-0.2014676034450531,False,False
11040,-0.2014676034450531,False,False
11120,-0.2014676034450531,False,False
11200,-0.2014676034450531,False,False
11280,-0.2014676034450531,False,False
11360,-0.2014676034450531,False,False
11440,-0.2014676034450531,False,False
11520,-0.2014676034450531,False,False
11600,-0.2014676034450531,False,False
11680,-0.2014676034450531,False,False
11760,-0.2014676034450531,False,False
11840,-0.2014676034450531,False,False
11920,-0.2014676034450531,False,False
12000,-0.2014676034450531,False,False
12080,-0.2014676034450531,False,False
12160,-0.2014676034450531,False,False
12240,-0.2014676034450531,False,False
12320,-0.2014676034450531,False,False
12400,-0.2014676034450531,False,False
12480,-0.2014676034450531,False,False
12560,-0.2014676034450531,False,False
12640,-0.2014676034450531,False,False
12720,-0.2014676034450531,False,False
12800,-0.2014676034450531,False,False
12880,-0.2014676034450531,False,False
12960,-0.2014676034450531,False,False
13040,-0.2014676034450531,False,False
13120,-0.2014676034450531,False,False
13200,-0.2014676034450531,False,False
13280,-0.2014676034450531,False,False
13360,-0.2014676034450531,False,False
13440,-0.2014676034450531,False,False
13520,-0.2014676034450531,False,False
