issue_code,reason,removed_at,leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,interval,experiment_preset,bars_per_year,binary_actions,min_hold_bars,use_cooldown_obs
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMZN,sweep_amzn_stage1_pilot,42,40000,0.0003,0.99,0.01,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4671361502347418,0.5407608695652174,368,421,0.988262910798122,0.5273159144893111,0.9174166312769096,0.4754098360655737,0.5231958762886598,388,426,0.9976580796252928,0.5352112676056338,0.4872629095673197,0.2217913925650043,0.0156335719688045,0.612058535384784,34.395586252212524,0.1008776774991726,42.97389061464756,0.0016045464166655,0.0017178084491082,0.0,0.0,0.008262910798122,0.0,-0.0044996627791373,0.0449966277913735,0.0421410260486467,17.99421812277216,0.001017871635394,0.0011399792845282,0.0,0.0,0.0002341920374707,0.0,-0.0081309244203635,0.081309244203635,0.8434630152740474,1.3896561986205132,2.128156315278334,-0.1876354428282477,0.4348071528930664,0.8694533764607092,1.3274698061066474,-0.282305459976829,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-044030Z_sweep_amzn_stage1_pilot_seed42.zip,0.4663787256665193,0.0295346961116059,2,0.0633277087615794,0,0.6121103658302208,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMZN,sweep_amzn_stage1_pilot,42,40000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4671361502347418,0.5407608695652174,368,421,0.988262910798122,0.5273159144893111,0.9174166312769096,0.4754098360655737,0.5231958762886598,388,426,0.9976580796252928,0.5352112676056338,0.4872629095673197,0.2217913925650043,0.0156335719688045,0.612058535384784,35.61330246925354,0.1008776774991726,42.97389061464756,0.0016045464166655,0.0017178084491082,0.0,0.0,0.008262910798122,0.0,-0.0044996627791373,0.0449966277913735,0.0421410260486467,17.99421812277216,0.001017871635394,0.0011399792845282,0.0,0.0,0.0002341920374707,0.0,-0.0081309244203635,0.081309244203635,0.8434630152740474,1.3896561986205132,2.128156315278334,-0.1876354428282477,0.4348071528930664,0.8694533764607092,1.3274698061066474,-0.282305459976829,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-044140Z_sweep_amzn_stage1_pilot_seed42.zip,0.4017220277070192,0.1209730752641916,2,0.3011362756348994,0,0.6097322801614877,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMZN,sweep_amzn_stage1_v2,42,60000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4671361502347418,0.5407608695652174,368,421,0.988262910798122,0.5273159144893111,0.9174166312769096,0.4754098360655737,0.5231958762886598,388,426,0.9976580796252928,0.5352112676056338,0.4872629095673197,0.2217913925650043,0.0156335719688045,0.612058535384784,37.91281628608704,0.1008776774991726,42.97389061464756,0.0016045464166655,0.0017178084491082,0.0,0.0,0.008262910798122,0.0,-0.0044996627791373,0.0449966277913735,0.0421410260486467,17.99421812277216,0.001017871635394,0.0011399792845282,0.0,0.0,0.0002341920374707,0.0,-0.0081309244203635,0.081309244203635,0.8434630152740474,1.3896561986205132,2.128156315278334,-0.1876354428282477,0.4348071528930664,0.8694533764607092,1.3274698061066474,-0.282305459976829,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-044917Z_sweep_amzn_stage1_v2_seed42.zip,0.5663786382257947,0.1330687638686254,3,0.2349466503282487,0,0.6103941764145542,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMZN,sweep_amzn_stage1_v2,13,60000,0.0003,0.99,0.03,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4671361502347418,0.5407608695652174,368,421,0.988262910798122,0.5273159144893111,0.9174166312769096,0.4754098360655737,0.5231958762886598,388,426,0.9976580796252928,0.5352112676056338,0.4872629095673197,0.2217913925650043,0.0156335719688045,0.612058535384784,37.82464861869812,0.1008776774991726,42.97389061464756,0.0016045464166655,0.0017178084491082,0.0,0.0,0.008262910798122,0.0,-0.0044996627791373,0.0449966277913735,0.0421410260486467,17.99421812277216,0.001017871635394,0.0011399792845282,0.0,0.0,0.0002341920374707,0.0,-0.0081309244203635,0.081309244203635,0.8434630152740474,1.3896561986205132,2.128156315278334,-0.1876354428282477,0.4348071528930664,0.8694533764607092,1.3274698061066474,-0.282305459976829,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-045031Z_sweep_amzn_stage1_v2_seed13.zip,0.1807695103281791,0.2668541885415598,3,1.4762123770601452,1,0.5979815191472352,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMZN,sweep_amzn_stage1_v2,13,60000,0.0003,0.99,0.08,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4671361502347418,0.5407608695652174,368,421,0.988262910798122,0.5273159144893111,0.9174166312769096,0.4754098360655737,0.5231958762886598,388,426,0.9976580796252928,0.5352112676056338,0.4872629095673197,0.2217913925650043,0.0156335719688045,0.612058535384784,37.8968825340271,0.1008776774991726,42.97389061464756,0.0016045464166655,0.0017178084491082,0.0,0.0,0.008262910798122,0.0,-0.0044996627791373,0.0449966277913735,0.0421410260486467,17.99421812277216,0.001017871635394,0.0011399792845282,0.0,0.0,0.0002341920374707,0.0,-0.0081309244203635,0.081309244203635,0.8434630152740474,1.3896561986205132,2.128156315278334,-0.1876354428282477,0.4348071528930664,0.8694533764607092,1.3274698061066474,-0.282305459976829,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-045147Z_sweep_amzn_stage1_v2_seed13.zip,0.3248419397115465,0.2813213720048123,3,0.8660254037844386,0,0.6040833888799922,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,NVDA,baseline_corrected_features_nextbar,7,20000,0.0003,0.99,0.02,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.3967136150234742,0.5299684542586751,317,342,0.8028169014084507,0.5263157894736842,0.9417454395732126,0.48711943793911,0.552,375,404,0.9461358313817332,0.5346534653465347,0.5543355054589822,0.915983649934091,0.1292834849868236,0.6112280518860853,52.27437376976013,0.1027153206385505,43.75672659202252,0.0023644900310413,0.0029680875643947,0.0,-0.0003744377477526,0.0169014084507042,0.0,-0.00853021053092,0.0853021053092003,0.0844120665289516,36.043952407862335,0.0012317306017903,0.0017037321602438,0.0,-8.11471728227067e-05,0.0129742388758782,0.0,-0.0047337619073996,0.0473376190739961,1.4928176070871428,1.7855862462528302,2.9152609263553355,-0.2394375447798598,0.5589940972595286,0.9941122076798812,1.4403391318583048,-0.2729820143293913,0.5768339571530519,1.5638075953671875,2.451670515099968,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260430-102621Z_baseline_corrected_features_nextbar_seed7.zip,0.6748213533577014,0.1043438050767987,3,0.1546243380675735,0,0.6215085797170257,1d,daily,252.0,,,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMD,ppo_binary_legacy_amd,13,60000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,legacy,100,1e-06,0.0,50.0,0.35,0.1,0.1,0.05,0.02,1.0,1,0.42018779342723,0.5057142857142857,350,382,0.8967136150234741,0.5026178010471204,1.3813118587457844,0.4707259953161593,0.5278514588859416,377,411,0.9625292740046838,0.5255474452554745,1.0158258778157865,0.6093764335470602,0.4819036742831211,0.603642483171279,40.61743354797363,0.0420691928756447,17.921476165024668,0.0022603564283931,0.0024455958762661,0.0,-0.0002622034650834,0.0184272300469483,0.0,-0.0103157541243555,0.1031575412435558,0.0186200407818933,7.95075741386848,0.0020493054866607,0.0022808938556654,0.0,-0.0001037118236245,0.0091334894613583,0.0,-0.0209146973111137,0.209146973111137,1.2310480562561033,1.3026985170329135,1.984072535322256,-0.2975958775505969,0.9010772552073828,0.9730937408193864,1.54602952625237,-0.5362246046310837,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260509-012918Z_ppo_binary_legacy_amd_seed13.zip,0.2031651755631572,0.4542911432198987,5,2.23606797749979,1,0.6283653121660103,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMD,sweep_amd_baseline_v4,17,40000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.1,1.0,1,0.4624413145539906,0.5051282051282051,390,424,0.9953051643192488,0.5,1.002988568719224,0.3793911007025761,0.5498154981549815,271,294,0.6885245901639344,0.5510204081632653,2.5498696982546183,-0.2572491975953626,0.4205943164832715,0.6025641025641026,80.61762833595276,0.0585979919383936,24.96274456575572,0.0008046034523622,0.000905640411321,0.0,-4.257788147145668e-07,0.002394366197183,0.0,-0.0054532544108375,0.0545325441083757,0.062732619340771,26.786828458509223,0.0015360560157947,0.0017556363510132,0.0,-6.34303210988404e-05,0.0018735362997658,0.0,-0.0032713519761464,0.0327135197614649,0.3644224251136805,1.0419044171729028,1.6257095451547257,-0.1620678923739449,0.8397678974075333,1.650710838480424,2.254738384142174,-0.1526959920194718,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260502-055124Z_sweep_amd_baseline_v4_seed17.zip,0.9242136321067248,1.4155358072227964,10,1.5316110453771532,1,0.6270730591073194,1d,daily,252.0,,,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,AMD,sweep_amd_baseline_v5,5,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.1,1.0,1,0.4624413145539906,0.5051282051282051,390,424,0.9953051643192488,0.5,1.002988568719224,0.3793911007025761,0.5498154981549815,271,294,0.6885245901639344,0.5510204081632653,2.5498696982546183,-0.0746289965531894,0.7033384639289499,0.6025641025641026,71.4218521118164,0.0585823103169357,24.956064195014623,0.001239764102415,0.0014216836336012,0.0,-4.257788147145668e-07,0.0069483568075117,0.0,-0.0088784891230952,0.0887848912309521,0.0595920604937005,25.44580983081012,0.0020017896675815,0.0024446114240713,0.0,-6.34303210988404e-05,0.006135831381733,0.0,-0.0058812567275751,0.0588125672757515,0.5470426261558536,0.947139616771376,1.4710996672539256,-0.2945882680224594,1.1225120448532118,1.4496761359055426,1.818881725602192,-0.2512980925099174,0.6216716227090431,1.647336195666626,2.591428382444263,-0.1355773890565939,0.4191735809242618,1.0715771073744649,1.4323290522033865,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260502-060649Z_sweep_amd_baseline_v5_seed5.zip,1.084027064121272,1.5759213225523956,10,1.4537656620500157,1,0.6561259276851586,1d,daily,252.0,,,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,MU,sweep_mu_binary_action_pilot,42,40000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4366197183098591,0.5027472527472527,364,396,0.9295774647887324,0.5025252525252525,1.436420794591322,0.5023364485981309,0.5529715762273901,387,410,0.9579439252336448,0.5487804878048781,3.720594611234663,0.6039891910397974,2.373989357616063,0.6021312021312022,34.261240005493164,0.1217997908975092,51.88671092233894,0.0022005270401648,0.0023998268367571,0.0,0.0,0.0105633802816901,0.0,-0.0065721933198534,0.065721933198534,0.0624255695554714,26.7181437697418,0.0037745081418067,0.0043734039869138,0.0,0.0,0.0058878504672897,0.0,-0.0134198386569822,0.1341983865698227,1.2554631674957268,1.4432007111863967,2.5085886591727498,-0.3982746736627472,2.7902629689178458,1.6606324309569458,2.326556003641859,-0.5171001599044576,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-004401Z_sweep_mu_binary_action_pilot_seed42.zip,3.535672142990401,0.2615198625785437,2,0.0739660952718753,0,0.6988803250044766,1d,daily,252.0,1.0,,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,MU,sweep_mu_binary_minhold_v1,7,40000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4507042253521127,0.5,380,413,0.9694835680751174,0.4963680387409201,1.095793734797485,0.5163551401869159,0.5516372795969773,397,419,0.9789719626168224,0.5513126491646778,5.770255727241109,0.3383949577405427,5.036815747630713,0.5989104116222761,42.56211543083191,0.1062999120109933,45.283762516683176,0.0019222374257495,0.0020624740506113,0.0,0.0,0.0089201877934272,0.0,-0.0072240227728699,0.0722402277286997,0.0911484846505672,39.011551430442765,0.00502832853419,0.0052122204614748,0.0,0.0,0.0078504672897196,0.0,-0.0083155960792876,0.0831559607928762,0.989868934196472,1.2281805037823594,2.0851251165959024,-0.4270820645626111,5.453089358932496,2.1848510662762544,3.5774901230801377,-0.293141096293728,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-005854Z_sweep_mu_binary_minhold_v1_seed7.zip,5.128171634524792,0.9080440321034392,2,0.177069742750056,0,0.6945578502149267,1d,daily,252.0,1.0,3.0,
sanitize,Quarantined by sanity_scan.py,2026-05-19T23:38:36.224522+00:00,2,MU,sweep_mu_binary_minhold_v3,7,40000,0.0003,0.99,0.03,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,0.0,1.0,0.35,0.0,0.1,0.02,0.0,1.0,1,0.4507042253521127,0.5,380,413,0.9694835680751174,0.4963680387409201,1.095793734797485,0.5116822429906542,0.5505050505050505,396,419,0.9789719626168224,0.548926014319809,4.395713570767117,0.3383949577405427,3.072971529597876,0.5989104116222761,36.939327001571655,0.1062999120109933,45.283762516683176,0.0019222374257495,0.0020624740506113,0.0,0.0,0.0089201877934272,0.0,-0.0072240227728699,0.0722402277286997,0.074191082173209,31.753783170133453,0.0042280243682298,0.0047311645322032,0.0,0.0,0.0068691588785046,0.0,-0.009737868345529,0.0973786834552909,0.989868934196472,1.2281805037823594,2.0851251165959024,-0.4270820645626111,3.4892451408996585,1.7797218862399304,2.58781554758048,-0.4269411328961606,0.6514739764559294,1.7103083836461093,2.683987304612146,-0.1355773890565937,0.4162736113017831,1.064666790392192,1.423020074218594,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260508-011216Z_sweep_mu_binary_minhold_v3_seed7.zip,4.366854024064075,0.0408135623513813,2,0.009346216321057,0,0.696291696933813,1d,daily,252.0,1.0,3.0,
